x,y
-30.0,1.2000001260241155
-29.9,1.2000001315137567
-29.799999999999997,1.2000001372425277
-29.699999999999996,1.2000001432208454
-29.599999999999994,1.2000001494595796
-29.499999999999993,1.2000001559700746
-29.39999999999999,1.200000162764168
-29.29999999999999,1.2000001698542138
-29.19999999999999,1.200000177253103
-29.099999999999987,1.2000001849742896
-28.999999999999986,1.2000001930318127
-28.899999999999984,1.2000002014403228
-28.799999999999983,1.2000002102151095
-28.69999999999998,1.2000002193721275
-28.59999999999998,1.200000228928027
-28.49999999999998,1.200000238900183
-28.399999999999977,1.2000002493067279
-28.299999999999976,1.2000002601665838
-28.199999999999974,1.200000271499497
-28.099999999999973,1.2000002833260737
-27.99999999999997,1.200000295667818
-27.89999999999997,1.2000003085471707
-27.79999999999997,1.20000032198755
-27.699999999999967,1.2000003360133942
-27.599999999999966,1.2000003506502062
-27.499999999999964,1.2000003659245997
-27.399999999999963,1.2000003818643479
-27.29999999999996,1.2000003984984333
-27.19999999999996,1.2000004158571018
-27.09999999999996,1.200000433971916
-26.999999999999957,1.200000452875813
-26.899999999999956,1.200000472603166
-26.799999999999955,1.2000004931898443
-26.699999999999953,1.20000051467328
-26.59999999999995,1.200000537092536
-26.49999999999995,1.2000005604883763
-26.39999999999995,1.2000005849033408
-26.299999999999947,1.2000006103818226
-26.199999999999946,1.2000006369701481
-26.099999999999945,1.200000664716662
-25.999999999999943,1.2000006936718146
-25.89999999999994,1.2000007238882542
-25.79999999999994,1.200000755420922
-25.69999999999994,1.2000007883271524
-25.599999999999937,1.2000008226667775
-25.499999999999936,1.2000008585022357
-25.399999999999935,1.2000008958986847
-25.299999999999933,1.200000934924121
-25.199999999999932,1.200000975649502
-25.09999999999993,1.2000010181488774
-24.99999999999993,1.2000010624995208
-24.899999999999928,1.200001108782073
-24.799999999999926,1.2000011570806868
-24.699999999999925,1.2000012074831807
-24.599999999999923,1.2000012600811987
-24.499999999999922,1.200001314970376
-24.39999999999992,1.2000013722505143
-24.29999999999992,1.200001432025762
-24.199999999999918,1.2000014944048043
-24.099999999999916,1.2000015595010602
-23.999999999999915,1.2000016274328895
-23.899999999999913,1.200001698323807
-23.799999999999912,1.200001772302708
-23.69999999999991,1.2000018495041018
-23.59999999999991,1.200001930068357
-23.499999999999908,1.2000020141419558
-23.399999999999906,1.2000021018777616
-23.299999999999905,1.200002193435295
-23.199999999999903,1.2000022889810258
-23.099999999999902,1.2000023886886746
-22.9999999999999,1.200002492739528
-22.8999999999999,1.2000026013227703
-22.799999999999898,1.2000027146358243
-22.699999999999896,1.2000028328847132
-22.599999999999895,1.2000029562844332
-22.499999999999893,1.200003085059345
-22.399999999999892,1.2000032194435815
-22.29999999999989,1.2000033596814736
-22.19999999999989,1.2000035060279939
-22.099999999999888,1.2000036587492209
-21.999999999999886,1.2000038181228214
-21.899999999999885,1.2000039844385568
-21.799999999999883,1.2000041579988088
