reaction_time,growth_rate log curve,gr mean smoothed
-45.0,1.0700000001186900,
-44.9,1.070000000123840,
-44.8,1.0700000001292200,
-44.700000000000000,1.0700000001348300,
-44.600000000000000,1.0700000001406800,
-44.50000000000000,1.0700000001467900,
-44.40000000000000,1.070000000153160,
-44.30000000000000,1.0700000001598100,
-44.20000000000000,1.070000000166750,
-44.10000000000000,1.0700000001739900,
-44.000000000000000,1.0700000001815400,
-43.900000000000000,1.0700000001894300,
-43.80000000000000,1.07000000019765,
-43.70000000000000,1.0700000002062300,
-43.60000000000000,1.0700000002151800,
-43.50000000000000,1.0700000002245300,
-43.40000000000000,1.0700000002342700,
-43.300000000000000,1.0700000002444500,
-43.200000000000000,1.0700000002550600,
-43.10000000000000,1.0700000002661300,
-43.00000000000000,1.0700000002776900,
-42.90000000000000,1.0700000002897400,
-42.80000000000000,1.0700000003023200,
-42.70000000000000,1.070000000315450,
-42.600000000000000,1.070000000329140,
-42.500000000000000,1.0700000003434300,
-42.40000000000000,1.0700000003583400,
-42.30000000000000,1.0700000003739000,
-42.20000000000000,1.070000000390130,
-42.10000000000000,1.0700000004070700,
-42.00000000000000,1.0700000004247400,
-41.900000000000000,1.0700000004431800,
-41.800000000000000,1.0700000004624200,
-41.70000000000000,1.0700000004825000,
-41.60000000000000,1.0700000005034500,
-41.50000000000000,1.0700000005253000,
-41.40000000000000,1.0700000005481100,
-41.30000000000000,1.070000000571910,
-41.199999999999900,1.0700000005967400,
-41.099999999999900,1.0700000006226400,
-40.99999999999990,1.0700000006496700,
-40.89999999999990,1.0700000006778800,
-40.79999999999990,1.0700000007073100,
-40.69999999999990,1.0700000007380200,
-40.59999999999990,1.0700000007700600,
-40.499999999999900,1.0700000008034900,
-40.399999999999900,1.0700000008383800,
-40.29999999999990,1.070000000874770,
-40.19999999999990,1.0700000009127500,
-40.09999999999990,1.0700000009523800,
-39.99999999999990,1.0700000009937300,
-39.89999999999990,1.0700000010368700,
-39.799999999999900,1.070000001081890,
-39.699999999999900,1.0700000011288600,
-39.59999999999990,1.0700000011778700,
-39.49999999999990,1.0700000012290000,
-39.39999999999990,1.07000000128236,
-39.29999999999990,1.070000001338030,
-39.19999999999990,1.0700000013961200,
-39.099999999999900,1.0700000014567400,
-38.999999999999900,1.0700000015199800,
-38.89999999999990,1.0700000015859700,
-38.79999999999990,1.0700000016548300,
-38.69999999999990,1.0700000017266700,
-38.59999999999990,1.0700000018016400,
-38.49999999999990,1.070000001879850,
-38.399999999999900,1.0700000019614700,
-38.299999999999900,1.0700000020466300,
-38.1999999999999,1.0700000021354800,
-38.0999999999999,1.070000002228190,
-37.9999999999999,1.0700000023249300,
-37.8999999999999,1.0700000024258700,
-37.7999999999999,1.0700000025311900,
-37.699999999999900,1.0700000026410800,
-37.599999999999900,1.07000000275574,
-37.49999999999990,1.0700000028753800,
-37.39999999999990,1.0700000030002200,
-37.29999999999990,1.0700000031304700,
-37.19999999999990,1.0700000032663800,
-37.09999999999990,1.0700000034081900,
-36.999999999999900,1.0700000035561600,
-36.899999999999900,1.0700000037105500,
-36.79999999999990,1.0700000038716400,
-36.69999999999990,1.07000000403973,
-36.59999999999990,1.0700000042151200,
-36.49999999999990,1.070000004398120,
-36.39999999999990,1.0700000045890600,
-36.299999999999900,1.0700000047882900,
-36.199999999999900,1.0700000049961800,
-36.09999999999990,1.0700000052130900,
-35.99999999999990,1.0700000054394200,
-35.89999999999990,1.070000005675570,
-35.79999999999990,1.0700000059219700,
-35.69999999999990,1.0700000061790800,
-35.599999999999900,1.0700000064473400,
-35.499999999999900,1.070000006727250,
-35.399999999999900,1.0700000070193200,
-35.29999999999990,1.070000007324060,
-35.19999999999990,1.070000007642040,
-35.09999999999990,1.070000007973820,
-34.99999999999990,1.070000008320000,
-34.89999999999990,1.070000008681220,
-34.799999999999900,1.0700000090581100,
-34.699999999999900,1.0700000094513700,
-34.59999999999990,1.0700000098617000,
-34.49999999999990,1.0700000102898500,
-34.39999999999990,1.0700000107365900,
-34.29999999999990,1.0700000112027200,
-34.19999999999990,1.0700000116890800,
-34.099999999999800,1.0700000121965700,
-33.999999999999800,1.0700000127260800,1.0827
-33.89999999999980,1.0700000132785800,
-33.79999999999980,1.0700000138550800,
-33.69999999999980,1.0700000144566000,
-33.59999999999980,1.0700000150842300,
-33.49999999999980,1.0700000157391100,
-33.399999999999800,1.070000016422430,
-33.299999999999800,1.0700000171354100,
-33.19999999999980,1.0700000178793500,
-33.09999999999980,1.0700000186555800,
-32.99999999999980,1.0700000194655100,
-32.89999999999980,1.0700000203106100,
-32.79999999999980,1.070000021192400,
-32.699999999999800,1.0700000221124700,
-32.599999999999800,1.0700000230724800,
-32.49999999999980,1.070000024074180,
-32.39999999999980,1.0700000251193600,
-32.29999999999980,1.0700000262099200,
-32.19999999999980,1.070000027347830,
-32.09999999999980,1.070000028535140,
-31.999999999999800,1.0700000297739900,1.078477
-31.899999999999800,1.0700000310666300,
-31.799999999999800,1.0700000324153900,
-31.69999999999980,1.0700000338227100,
-31.59999999999980,1.0700000352911300,
-31.499999999999800,1.070000036823300,
-31.399999999999800,1.070000038421980,
-31.299999999999800,1.0700000400900800,
-31.199999999999800,1.070000041830590,
-31.099999999999800,1.0700000436466700,
-30.9999999999998,1.070000045541600,
-30.8999999999998,1.0700000475187900,
-30.799999999999800,1.0700000495818200,
-30.699999999999800,1.070000051734420,
-30.599999999999800,1.0700000539804800,
-30.499999999999800,1.0700000563240400,
-30.399999999999800,1.0700000587693600,
-30.29999999999980,1.0700000613208300,
