"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
10029,"$50,000 under $75,000",291438
10029,"$75,000 under $100,000",176346
10029,"$100,000 under $200,000",273887
10029,"$200,000 or more",594779
,,
10030,,"616,731"
10030,"$1 under $25,000",79975
10030,"$25,000 under $50,000",138639
10030,"$50,000 under $75,000",114115
10030,"$75,000 under $100,000",77181
10030,"$100,000 under $200,000",101979
10030,"$200,000 or more",104842
,,
10031,,"1,283,477"
10031,"$1 under $25,000",165604
10031,"$25,000 under $50,000",295467
10031,"$50,000 under $75,000",259870
10031,"$75,000 under $100,000",155318
10031,"$100,000 under $200,000",225249
10031,"$200,000 or more",181969
,,
10032,,"1,204,675"
10032,"$1 under $25,000",170966
10032,"$25,000 under $50,000",291064
10032,"$50,000 under $75,000",247954
10032,"$75,000 under $100,000",146885
10032,"$100,000 under $200,000",208952
10032,"$200,000 or more",138854
,,
10033,,"1,294,407"
10033,"$1 under $25,000",150660
10033,"$25,000 under $50,000",248563
10033,"$50,000 under $75,000",216309
10033,"$75,000 under $100,000",140907
10033,"$100,000 under $200,000",284907
10033,"$200,000 or more",253061
,,
10034,,"956,384"
10034,"$1 under $25,000",108652
10034,"$25,000 under $50,000",180425
10034,"$50,000 under $75,000",175316
10034,"$75,000 under $100,000",122922
10034,"$100,000 under $200,000",215743
10034,"$200,000 or more",153326
,,
10035,,"752,324"
10035,"$1 under $25,000",85802
10035,"$25,000 under $50,000",146682
10035,"$50,000 under $75,000",126557
10035,"$75,000 under $100,000",82235
10035,"$100,000 under $200,000",152566
10035,"$200,000 or more",158482
,,
10036,,"5,666,105"
10036,"$1 under $25,000",50710
10036,"$25,000 under $50,000",113419
10036,"$50,000 under $75,000",158898
10036,"$75,000 under $100,000",174813
10036,"$100,000 under $200,000",557959
10036,"$200,000 or more",4610306
,,
10037,,"542,923"
10037,"$1 under $25,000",48453
10037,"$25,000 under $50,000",103563
10037,"$50,000 under $75,000",112746
10037,"$75,000 under $100,000",91851
10037,"$100,000 under $200,000",131597
10037,"$200,000 or more",54713
,,
10038,,"1,767,832"
10038,"$1 under $25,000",39346
10038,"$25,000 under $50,000",73225
10038,"$50,000 under $75,000",103809
10038,"$75,000 under $100,000",99872
10038,"$100,000 under $200,000",337442
10038,"$200,000 or more",1114138
,,
10039,,"560,038"
10039,"$1 under $25,000",79607
10039,"$25,000 under $50,000",133264
10039,"$50,000 under $75,000",111901
10039,"$75,000 under $100,000",69671
10039,"$100,000 under $200,000",106321
10039,"$200,000 or more",59274
,,
10040,,"989,642"
10040,"$1 under $25,000",120088
10040,"$25,000 under $50,000",197409
10040,"$50,000 under $75,000",184261
10040,"$75,000 under $100,000",129351
10040,"$100,000 under $200,000",217091
10040,"$200,000 or more",141442
,,
10044,,"436,619"
10044,"$1 under $25,000",12720
10044,"$25,000 under $50,000",29024
10044,"$50,000 under $75,000",40283
10044,"$75,000 under $100,000",38023
10044,"$100,000 under $200,000",122493
10044,"$200,000 or more",194076
,,
10065,,"10,451,654"
10065,"$1 under $25,000",24615
10065,"$25,000 under $50,000",73121
10065,"$50,000 under $75,000",133274
10065,"$75,000 under $100,000",141418
10065,"$100,000 under $200,000",467106
10065,"$200,000 or more",9612120
,,
10069,,"1,751,700"
10069,"$1 under $25,000",3866
10069,"$25,000 under $50,000",9858
10069,"$50,000 under $75,000",15697
10069,"$75,000 under $100,000",17981
10069,"$100,000 under $200,000",89531
10069,"$200,000 or more",1614767
,,
10075,,"7,263,470"
10075,"$1 under $25,000",22779
10075,"$25,000 under $50,000",59022
10075,"$50,000 under $75,000",115597
10075,"$75,000 under $100,000",139509
10075,"$100,000 under $200,000",443216
10075,"$200,000 or more",6483347
,,
10128,,"12,783,790"
10128,"$1 under $25,000",62683
10128,"$25,000 under $50,000",157717
10128,"$50,000 under $75,000",294957
10128,"$75,000 under $100,000",314222
10128,"$100,000 under $200,000",954430
10128,"$200,000 or more",10999781
,,
10162,,"205,406"
10162,"$1 under $25,000",807
10162,"$25,000 under $50,000",2124
10162,"$50,000 under $75,000",3229
10162,"$75,000 under $100,000",4932
10162,"$100,000 under $200,000",25864
10162,"$200,000 or more",168450
,,
10280,,"921,774"
10280,"$1 under $25,000",4843
10280,"$25,000 under $50,000",12850
10280,"$50,000 under $75,000",27554
10280,"$75,000 under $100,000",37239
10280,"$100,000 under $200,000",165301
10280,"$200,000 or more",673987
,,
10282,,"1,472,965"
10282,"$1 under $25,000",2183
10282,"$25,000 under $50,000",4751
10282,"$50,000 under $75,000",9017
10282,"$75,000 under $100,000",12380
10282,"$100,000 under $200,000",55446
10282,"$200,000 or more",1389188
,,
10301,,"1,304,009"
10301,"$1 under $25,000",77634
10301,"$25,000 under $50,000",145820
10301,"$50,000 under $75,000",167890
10301,"$75,000 under $100,000",144904
10301,"$100,000 under $200,000",361293
10301,"$200,000 or more",406468
,,
10302,,"433,824"
10302,"$1 under $25,000",40134
10302,"$25,000 under $50,000",69587
10302,"$50,000 under $75,000",69107
10302,"$75,000 under $100,000",63526
10302,"$100,000 under $200,000",146244
10302,"$200,000 or more",45226
,,
10303,,"567,333"
10303,"$1 under $25,000",66656
10303,"$25,000 under $50,000",110691
10303,"$50,000 under $75,000",109726
10303,"$75,000 under $100,000",89784
10303,"$100,000 under $200,000",160413
10303,"$200,000 or more",30063
,,
10304,,"1,454,277"
10304,"$1 under $25,000",102116
10304,"$25,000 under $50,000",167597
10304,"$50,000 under $75,000",155649
10304,"$75,000 under $100,000",135513
10304,"$100,000 under $200,000",321047
10304,"$200,000 or more",572355
,,
10305,,"1,234,836"
10305,"$1 under $25,000",82608
