"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
11796,"$200,000 or more",42441
,,
11797,,"1,314,014"
11797,"$1 under $25,000",10565
11797,"$25,000 under $50,000",18316
11797,"$50,000 under $75,000",28946
11797,"$75,000 under $100,000",28852
11797,"$100,000 under $200,000",116975
11797,"$200,000 or more",1110360
,,
11798,,"395,151"
11798,"$1 under $25,000",49764
11798,"$25,000 under $50,000",90774
11798,"$50,000 under $75,000",72938
11798,"$75,000 under $100,000",47957
11798,"$100,000 under $200,000",100209
11798,"$200,000 or more",33509
,,
11801,,"1,536,020"
11801,"$1 under $25,000",83328
11801,"$25,000 under $50,000",171011
11801,"$50,000 under $75,000",199390
11801,"$75,000 under $100,000",194293
11801,"$100,000 under $200,000",590060
11801,"$200,000 or more",297938
,,
11803,,"2,095,672"
11803,"$1 under $25,000",32164
11803,"$25,000 under $50,000",65587
11803,"$50,000 under $75,000",97430
11803,"$75,000 under $100,000",113195
11803,"$100,000 under $200,000",550066
11803,"$200,000 or more",1237230
,,
11804,,"338,023"
11804,"$1 under $25,000",5393
11804,"$25,000 under $50,000",10829
11804,"$50,000 under $75,000",16386
11804,"$75,000 under $100,000",21054
11804,"$100,000 under $200,000",90908
11804,"$200,000 or more",193453
,,
11901,,"716,039"
11901,"$1 under $25,000",64192
11901,"$25,000 under $50,000",123981
11901,"$50,000 under $75,000",107786
11901,"$75,000 under $100,000",91832
11901,"$100,000 under $200,000",200840
11901,"$200,000 or more",127408
,,
11933,,"268,922"
11933,"$1 under $25,000",12363
11933,"$25,000 under $50,000",27804
11933,"$50,000 under $75,000",30503
11933,"$75,000 under $100,000",31862
11933,"$100,000 under $200,000",94353
11933,"$200,000 or more",72037
,,
11934,,"367,787"
11934,"$1 under $25,000",13425
11934,"$25,000 under $50,000",25236
11934,"$50,000 under $75,000",29266
11934,"$75,000 under $100,000",34494
11934,"$100,000 under $200,000",140577
11934,"$200,000 or more",124789
,,
11935,,"212,188"
11935,"$1 under $25,000",5488
11935,"$25,000 under $50,000",12105
11935,"$50,000 under $75,000",14589
11935,"$75,000 under $100,000",15804
11935,"$100,000 under $200,000",53720
11935,"$200,000 or more",110482
,,
11937,,"1,099,232"
11937,"$1 under $25,000",33831
11937,"$25,000 under $50,000",68510
11937,"$50,000 under $75,000",69852
11937,"$75,000 under $100,000",59173
11937,"$100,000 under $200,000",186429
11937,"$200,000 or more",681437
,,
11939,,"54,248"
11939,"$1 under $25,000",1705
11939,"$25,000 under $50,000",3180
11939,"$50,000 under $75,000",4410
11939,"$75,000 under $100,000",4754
11939,"$100,000 under $200,000",14158
11939,"$200,000 or more",26041
,,
11940,,"269,569"
11940,"$1 under $25,000",8914
11940,"$25,000 under $50,000",18294
11940,"$50,000 under $75,000",20377
11940,"$75,000 under $100,000",23948
11940,"$100,000 under $200,000",91722
11940,"$200,000 or more",106314
,,
11941,,"139,938"
11941,"$1 under $25,000",4333
11941,"$25,000 under $50,000",8103
11941,"$50,000 under $75,000",11241
11941,"$75,000 under $100,000",11887
11941,"$100,000 under $200,000",54339
11941,"$200,000 or more",50035
,,
11942,,"257,080"
11942,"$1 under $25,000",8299
11942,"$25,000 under $50,000",15716
11942,"$50,000 under $75,000",20789
11942,"$75,000 under $100,000",22905
11942,"$100,000 under $200,000",69911
11942,"$200,000 or more",119460
,,
11944,,"184,022"
11944,"$1 under $25,000",9728
11944,"$25,000 under $50,000",20715
11944,"$50,000 under $75,000",17433
11944,"$75,000 under $100,000",15311
11944,"$100,000 under $200,000",48795
11944,"$200,000 or more",72040
,,
11946,,"562,901"
11946,"$1 under $25,000",30695
11946,"$25,000 under $50,000",61146
11946,"$50,000 under $75,000",65848
11946,"$75,000 under $100,000",59133
11946,"$100,000 under $200,000",159136
11946,"$200,000 or more",186943
,,
11948,,"64,969"
11948,"$1 under $25,000",2240
11948,"$25,000 under $50,000",4671
11948,"$50,000 under $75,000",4316
11948,"$75,000 under $100,000",5885
11948,"$100,000 under $200,000",18876
11948,"$200,000 or more",28981
,,
11949,,"635,494"
11949,"$1 under $25,000",22959
11949,"$25,000 under $50,000",43580
11949,"$50,000 under $75,000",55777
11949,"$75,000 under $100,000",62321
11949,"$100,000 under $200,000",239923
11949,"$200,000 or more",210934
,,
11950,,"392,451"
11950,"$1 under $25,000",36303
11950,"$25,000 under $50,000",72839
11950,"$50,000 under $75,000",69146
11950,"$75,000 under $100,000",65491
11950,"$100,000 under $200,000",124310
11950,"$200,000 or more",24362
,,
11951,,"325,699"
11951,"$1 under $25,000",29194
11951,"$25,000 under $50,000",60129
11951,"$50,000 under $75,000",59949
11951,"$75,000 under $100,000",53090
11951,"$100,000 under $200,000",101972
11951,"$200,000 or more",21365
,,
11952,,"261,004"
11952,"$1 under $25,000",8744
11952,"$25,000 under $50,000",16337
11952,"$50,000 under $75,000",20790
11952,"$75,000 under $100,000",24333
11952,"$100,000 under $200,000",69770
11952,"$200,000 or more",121030
,,
11953,,"431,237"
11953,"$1 under $25,000",24342
11953,"$25,000 under $50,000",59902
11953,"$50,000 under $75,000",68177
11953,"$75,000 under $100,000",66754
11953,"$100,000 under $200,000",160024
11953,"$200,000 or more",52038
,,
11954,,"240,671"
11954,"$1 under $25,000",10935
11954,"$25,000 under $50,000",25240
11954,"$50,000 under $75,000",22703
11954,"$75,000 under $100,000",19620
11954,"$100,000 under $200,000",46117
11954,"$200,000 or more",116056
,,
11955,,"121,977"
11955,"$1 under $25,000",6038
11955,"$25,000 under $50,000",14974
11955,"$50,000 under $75,000",18472
11955,"$75,000 under $100,000",16318
11955,"$100,000 under $200,000",40535
11955,"$200,000 or more",25640
,,
11957,,"64,188"
11957,"$1 under $25,000",1215
11957,"$25,000 under $50,000",2507
11957,"$50,000 under $75,000",3397
11957,"$75,000 under $100,000",3992
11957,"$100,000 under $200,000",14317
11957,"$200,000 or more",38760
,,
11958,,"43,658"
11958,"$1 under $25,000",1885
11958,"$25,000 under $50,000",3602
11958,"$50,000 under $75,000",3700
11958,"$75,000 under $100,000",4052
11958,"$100,000 under $200,000",10459
11958,"$200,000 or more",19960
,,
11961,,"469,939"
11961,"$1 under $25,000",25663
11961,"$25,000 under $50,000",55267
11961,"$50,000 under $75,000",69120
11961,"$75,000 under $100,000",70395
11961,"$100,000 under $200,000",180980
11961,"$200,000 or more",68514
,,
11963,,"564,818"
11963,"$1 under $25,000",12348
11963,"$25,000 under $50,000",27010
11963,"$50,000 under $75,000",31115
11963,"$75,000 under $100,000",32527
11963,"$100,000 under $200,000",100159
11963,"$200,000 or more",361659
,,
11967,,"755,783"
11967,"$1 under $25,000",53761
11967,"$25,000 under $50,000",109033
11967,"$50,000 under $75,000",126384
11967,"$75,000 under $100,000",118133
11967,"$100,000 under $200,000",273146
11967,"$200,000 or more",75326
,,
11968,,"823,075"
11968,"$1 under $25,000",19857
11968,"$25,000 under $50,000",37252
11968,"$50,000 under $75,000",40689
11968,"$75,000 under $100,000",37601
11968,"$100,000 under $200,000",121271
11968,"$200,000 or more",566405
,,
11971,,"332,999"
11971,"$1 under $25,000",9282
11971,"$25,000 under $50,000",20833
11971,"$50,000 under $75,000",23736
11971,"$75,000 under $100,000",25919
11971,"$100,000 under $200,000",90221
11971,"$200,000 or more",163008
,,
11976,,"314,077"
11976,"$1 under $25,000",3078
11976,"$25,000 under $50,000",6622
11976,"$50,000 under $75,000",8726
11976,"$75,000 under $100,000",5670
11976,"$100,000 under $200,000",23585
11976,"$200,000 or more",266396
,,
11977,,"170,494"
11977,"$1 under $25,000",4691
11977,"$25,000 under $50,000",7451
11977,"$50,000 under $75,000",8772
11977,"$75,000 under $100,000",11047
11977,"$100,000 under $200,000",40650
11977,"$200,000 or more",97883
,,
11978,,"220,114"
11978,"$1 under $25,000",7641
11978,"$25,000 under $50,000",13955
11978,"$50,000 under $75,000",13303
11978,"$75,000 under $100,000",16102
11978,"$100,000 under $200,000",43627
11978,"$200,000 or more",125486
,,
11980,,"188,534"
11980,"$1 under $25,000",7330
11980,"$25,000 under $50,000",17772
11980,"$50,000 under $75,000",25124
11980,"$75,000 under $100,000",29128
11980,"$100,000 under $200,000",77423
11980,"$200,000 or more",31757
,,
12008,,"18,605"
12008,"$1 under $25,000",597
12008,"$25,000 under $50,000",1442
12008,"$50,000 under $75,000",2497
12008,"$75,000 under $100,000",2480
12008,"$100,000 under $200,000",11589
12008,"$200,000 or more",** 
,,
12009,,"330,691"
12009,"$1 under $25,000",10712
12009,"$25,000 under $50,000",26025
12009,"$50,000 under $75,000",34950
12009,"$75,000 under $100,000",40771
12009,"$100,000 under $200,000",121516
12009,"$200,000 or more",96717
,,
12010,,"677,170"
12010,"$1 under $25,000",66346
12010,"$25,000 under $50,000",129668
12010,"$50,000 under $75,000",113564
12010,"$75,000 under $100,000",101146
12010,"$100,000 under $200,000",178709
12010,"$200,000 or more",87737
,,
12015,,"127,364"
12015,"$1 under $25,000",5751
12015,"$25,000 under $50,000",13364
12015,"$50,000 under $75,000",15377
12015,"$75,000 under $100,000",17135
12015,"$100,000 under $200,000",41665
12015,"$200,000 or more",34072
,,
12017,,"13,902"
12017,"$1 under $25,000",740
12017,"$25,000 under $50,000",2576
12017,"$50,000 under $75,000",** 
12017,"$75,000 under $100,000",1875
12017,"$100,000 under $200,000",8711
12017,"$200,000 or more",** 
,,
12018,,"324,311"
12018,"$1 under $25,000",11184
12018,"$25,000 under $50,000",30029
12018,"$50,000 under $75,000",37618
12018,"$75,000 under $100,000",41074
12018,"$100,000 under $200,000",122032
12018,"$200,000 or more",82374
,,
12019,,"732,927"
12019,"$1 under $25,000",19985
12019,"$25,000 under $50,000",49973
12019,"$50,000 under $75,000",71356
12019,"$75,000 under $100,000",91540
12019,"$100,000 under $200,000",290507
12019,"$200,000 or more",209566
,,
12020,,"1,221,290"
12020,"$1 under $25,000",56730
12020,"$25,000 under $50,000",134833
12020,"$50,000 under $75,000",160708
12020,"$75,000 under $100,000",163050
12020,"$100,000 under $200,000",453763
12020,"$200,000 or more",252206
,,
12022,,"22,375"
12022,"$1 under $25,000",1630
12022,"$25,000 under $50,000",3481
12022,"$50,000 under $75,000",4307
12022,"$75,000 under $100,000",4328
12022,"$100,000 under $200,000",8629
12022,"$200,000 or more",** 
,,
12023,,"62,645"
12023,"$1 under $25,000",3214
12023,"$25,000 under $50,000",7763
12023,"$50,000 under $75,000",10501
12023,"$75,000 under $100,000",10352
12023,"$100,000 under $200,000",30815
12023,"$200,000 or more",** 
,,
12025,,"164,075"
12025,"$1 under $25,000",10091
12025,"$25,000 under $50,000",25540
12025,"$50,000 under $75,000",26018
12025,"$75,000 under $100,000",27064
12025,"$100,000 under $200,000",52832
12025,"$200,000 or more",22530
,,
12027,,"181,071"
12027,"$1 under $25,000",5410
12027,"$25,000 under $50,000",12313
12027,"$50,000 under $75,000",17185
12027,"$75,000 under $100,000",21116
12027,"$100,000 under $200,000",75947
12027,"$200,000 or more",49100
,,
12028,,"32,726"
12028,"$1 under $25,000",2531
12028,"$25,000 under $50,000",5472
12028,"$50,000 under $75,000",6372
12028,"$75,000 under $100,000",6949
12028,"$100,000 under $200,000",11402
12028,"$200,000 or more",** 
,,
12029,,"56,520"
12029,"$1 under $25,000",1816
12029,"$25,000 under $50,000",3619
12029,"$50,000 under $75,000",5218
12029,"$75,000 under $100,000",5738
12029,"$100,000 under $200,000",11501
12029,"$200,000 or more",28628
,,
12031,,"4,464"
12031,"$1 under $25,000",607
12031,"$25,000 under $50,000",1168
12031,"$50,000 under $75,000",2689
12031,"$75,000 under $100,000",** 
12031,"$100,000 under $200,000",** 
12031,"$200,000 or more",0
,,
12032,,"27,613"
12032,"$1 under $25,000",1771
12032,"$25,000 under $50,000",4583
12032,"$50,000 under $75,000",5397
12032,"$75,000 under $100,000",5540
12032,"$100,000 under $200,000",10322
12032,"$200,000 or more",** 
,,
12033,,"309,226"
12033,"$1 under $25,000",12682
12033,"$25,000 under $50,000",32535
12033,"$50,000 under $75,000",39144
12033,"$75,000 under $100,000",42157
12033,"$100,000 under $200,000",121429
12033,"$200,000 or more",61279
,,
12035,,"19,496"
12035,"$1 under $25,000",1585
12035,"$25,000 under $50,000",4232
12035,"$50,000 under $75,000",4869
12035,"$75,000 under $100,000",3582
12035,"$100,000 under $200,000",5228
12035,"$200,000 or more",** 
,,
12037,,"123,742"
12037,"$1 under $25,000",7527
12037,"$25,000 under $50,000",17065
12037,"$50,000 under $75,000",16592
12037,"$75,000 under $100,000",14584
12037,"$100,000 under $200,000",32588
12037,"$200,000 or more",35386
,,
12041,,"16,453"
12041,"$1 under $25,000",789
12041,"$25,000 under $50,000",1748
12041,"$50,000 under $75,000",3397
12041,"$75,000 under $100,000",2591
12041,"$100,000 under $200,000",7928
12041,"$200,000 or more",** 
,,
12042,,"12,400"
12042,"$1 under $25,000",833
12042,"$25,000 under $50,000",1789
12042,"$50,000 under $75,000",2180
12042,"$75,000 under $100,000",3282
12042,"$100,000 under $200,000",4316
12042,"$200,000 or more",** 
,,
12043,,"177,110"
12043,"$1 under $25,000",14521
12043,"$25,000 under $50,000",30326
12043,"$50,000 under $75,000",29918
12043,"$75,000 under $100,000",28248
12043,"$100,000 under $200,000",49965
12043,"$200,000 or more",24132
,,
12046,,"21,838"
12046,"$1 under $25,000",1258
12046,"$25,000 under $50,000",3015
12046,"$50,000 under $75,000",2980
12046,"$75,000 under $100,000",3970
12046,"$100,000 under $200,000",10615
12046,"$200,000 or more",** 
,,
12047,,"663,514"
12047,"$1 under $25,000",43816
12047,"$25,000 under $50,000",107355
12047,"$50,000 under $75,000",109164
12047,"$75,000 under $100,000",87973
12047,"$100,000 under $200,000",197030
12047,"$200,000 or more",118176
,,
12051,,"111,097"
12051,"$1 under $25,000",7107
12051,"$25,000 under $50,000",17361
12051,"$50,000 under $75,000",17663
12051,"$75,000 under $100,000",16571
12051,"$100,000 under $200,000",35202
12051,"$200,000 or more",17193
,,
12052,,"50,696"
12052,"$1 under $25,000",2698
12052,"$25,000 under $50,000",6079
12052,"$50,000 under $75,000",10255
12052,"$75,000 under $100,000",9065
12052,"$100,000 under $200,000",22599
12052,"$200,000 or more",** 
,,
12053,,"158,509"
12053,"$1 under $25,000",6742
12053,"$25,000 under $50,000",15771
12053,"$50,000 under $75,000",23328
12053,"$75,000 under $100,000",23469
12053,"$100,000 under $200,000",63214
12053,"$200,000 or more",25985
,,
12054,,"911,536"
12054,"$1 under $25,000",21757
12054,"$25,000 under $50,000",51258
12054,"$50,000 under $75,000",77437
12054,"$75,000 under $100,000",91131
12054,"$100,000 under $200,000",331697
12054,"$200,000 or more",338256
,,
12056,,"88,851"
12056,"$1 under $25,000",3375
12056,"$25,000 under $50,000",8742
12056,"$50,000 under $75,000",10816
12056,"$75,000 under $100,000",12486
12056,"$100,000 under $200,000",36735
12056,"$200,000 or more",16697
,,
12057,,"38,337"
12057,"$1 under $25,000",2816
12057,"$25,000 under $50,000",7648
12057,"$50,000 under $75,000",7345
12057,"$75,000 under $100,000",7137
12057,"$100,000 under $200,000",13391
12057,"$200,000 or more",** 
,,
12058,,"39,888"
12058,"$1 under $25,000",2822
12058,"$25,000 under $50,000",5699
12058,"$50,000 under $75,000",7446
12058,"$75,000 under $100,000",7235
12058,"$100,000 under $200,000",16686
12058,"$200,000 or more",** 
,,
12059,,"53,890"
12059,"$1 under $25,000",2578
12059,"$25,000 under $50,000",6057
12059,"$50,000 under $75,000",8545
12059,"$75,000 under $100,000",8520
12059,"$100,000 under $200,000",20869
12059,"$200,000 or more",7321
,,
12060,,"54,259"
12060,"$1 under $25,000",2186
12060,"$25,000 under $50,000",4562
12060,"$50,000 under $75,000",6685
12060,"$75,000 under $100,000",7685
12060,"$100,000 under $200,000",16043
12060,"$200,000 or more",17098
,,
12061,,"428,249"
12061,"$1 under $25,000",13537
12061,"$25,000 under $50,000",33995
12061,"$50,000 under $75,000",49821
12061,"$75,000 under $100,000",52942
12061,"$100,000 under $200,000",158136
12061,"$200,000 or more",119818
,,
12062,,"52,064"
12062,"$1 under $25,000",2930
12062,"$25,000 under $50,000",7830
12062,"$50,000 under $75,000",9760
12062,"$75,000 under $100,000",7555
12062,"$100,000 under $200,000",23989
12062,"$200,000 or more",** 
,,
12063,,"23,776"
12063,"$1 under $25,000",868
12063,"$25,000 under $50,000",2123
12063,"$50,000 under $75,000",2233
12063,"$75,000 under $100,000",2557
12063,"$100,000 under $200,000",8619
12063,"$200,000 or more",7376
,,
12064,,"8,444"
12064,"$1 under $25,000",1050
12064,"$25,000 under $50,000",2461
12064,"$50,000 under $75,000",1868
12064,"$75,000 under $100,000",3065
12064,"$100,000 under $200,000",** 
12064,"$200,000 or more",0
,,
12065,,"1,958,302"
12065,"$1 under $25,000",65663
12065,"$25,000 under $50,000",163318
12065,"$50,000 under $75,000",211618
12065,"$75,000 under $100,000",220542
12065,"$100,000 under $200,000",719575
12065,"$200,000 or more",577586
,,
12066,,"59,051"
12066,"$1 under $25,000",3163
12066,"$25,000 under $50,000",8959
12066,"$50,000 under $75,000",10723
12066,"$75,000 under $100,000",11001
12066,"$100,000 under $200,000",25205
12066,"$200,000 or more",** 
,,
12067,,"61,954"
12067,"$1 under $25,000",2621
12067,"$25,000 under $50,000",5210
12067,"$50,000 under $75,000",8856
12067,"$75,000 under $100,000",9003
12067,"$100,000 under $200,000",20301
12067,"$200,000 or more",15963
,,
12068,,"69,404"
12068,"$1 under $25,000",5508
12068,"$25,000 under $50,000",13375
12068,"$50,000 under $75,000",13983
12068,"$75,000 under $100,000",12528
12068,"$100,000 under $200,000",24010
12068,"$200,000 or more",** 
,,
12070,,"45,762"
12070,"$1 under $25,000",2220
12070,"$25,000 under $50,000",6782
12070,"$50,000 under $75,000",7310
12070,"$75,000 under $100,000",6615
12070,"$100,000 under $200,000",11534
12070,"$200,000 or more",11301
,,
12071,,"5,431"
12071,"$1 under $25,000",648
12071,"$25,000 under $50,000",2272
12071,"$50,000 under $75,000",** 
12071,"$75,000 under $100,000",2511
12071,"$100,000 under $200,000",** 
12071,"$200,000 or more",** 
,,
12072,,"68,161"
12072,"$1 under $25,000",4584
12072,"$25,000 under $50,000",13289
12072,"$50,000 under $75,000",12030
12072,"$75,000 under $100,000",12707
12072,"$100,000 under $200,000",25551
12072,"$200,000 or more",** 
,,
12074,,"102,558"
12074,"$1 under $25,000",4878
12074,"$25,000 under $50,000",13211
12074,"$50,000 under $75,000",14514
12074,"$75,000 under $100,000",17654
12074,"$100,000 under $200,000",40054
12074,"$200,000 or more",12247
,,
12075,,"117,521"
12075,"$1 under $25,000",5378
12075,"$25,000 under $50,000",12361
12075,"$50,000 under $75,000",12992
12075,"$75,000 under $100,000",13066
12075,"$100,000 under $200,000",37388
12075,"$200,000 or more",36336
,,
12076,,"31,590"
12076,"$1 under $25,000",2550
12076,"$25,000 under $50,000",4818
12076,"$50,000 under $75,000",5922
12076,"$75,000 under $100,000",5813
12076,"$100,000 under $200,000",12487
12076,"$200,000 or more",** 
,,
12077,,"337,498"
12077,"$1 under $25,000",8255
12077,"$25,000 under $50,000",20087
12077,"$50,000 under $75,000",27666
12077,"$75,000 under $100,000",29231
12077,"$100,000 under $200,000",124656
12077,"$200,000 or more",127603
,,
12078,,"446,774"
12078,"$1 under $25,000",51708
12078,"$25,000 under $50,000",100729
12078,"$50,000 under $75,000",85629
12078,"$75,000 under $100,000",65073
12078,"$100,000 under $200,000",97752
12078,"$200,000 or more",45883
,,
12083,,"114,936"
12083,"$1 under $25,000",6580
12083,"$25,000 under $50,000",15929
12083,"$50,000 under $75,000",20412
12083,"$75,000 under $100,000",18956
12083,"$100,000 under $200,000",39778
12083,"$200,000 or more",13281
,,
12084,,"177,417"
12084,"$1 under $25,000",5748
12084,"$25,000 under $50,000",17921
12084,"$50,000 under $75,000",28099
12084,"$75,000 under $100,000",30028
12084,"$100,000 under $200,000",63171
12084,"$200,000 or more",32450
,,
12085,,"8,722"
12085,"$1 under $25,000",756
12085,"$25,000 under $50,000",2768
12085,"$50,000 under $75,000",2019
12085,"$75,000 under $100,000",3179
12085,"$100,000 under $200,000",** 
12085,"$200,000 or more",** 
,,
12086,,"54,911"
12086,"$1 under $25,000",2968
12086,"$25,000 under $50,000",9900
12086,"$50,000 under $75,000",11014
12086,"$75,000 under $100,000",10266
12086,"$100,000 under $200,000",20763
12086,"$200,000 or more",** 
,,
12087,,"36,398"
12087,"$1 under $25,000",2449
12087,"$25,000 under $50,000",5551
12087,"$50,000 under $75,000",6499
12087,"$75,000 under $100,000",4827
12087,"$100,000 under $200,000",17072
12087,"$200,000 or more",** 
,,
12090,,"145,422"
12090,"$1 under $25,000",11161
12090,"$25,000 under $50,000",26411
12090,"$50,000 under $75,000",25405
12090,"$75,000 under $100,000",24188
12090,"$100,000 under $200,000",42021
12090,"$200,000 or more",16236
,,
12092,,"27,983"
12092,"$1 under $25,000",2451
12092,"$25,000 under $50,000",5142
12092,"$50,000 under $75,000",6572
12092,"$75,000 under $100,000",4178
12092,"$100,000 under $200,000",9640
12092,"$200,000 or more",** 
,,
12093,,"34,369"
12093,"$1 under $25,000",3198
12093,"$25,000 under $50,000",6799
12093,"$50,000 under $75,000",5887
12093,"$75,000 under $100,000",5342
12093,"$100,000 under $200,000",13143
12093,"$200,000 or more",** 
,,
12094,,"66,335"
12094,"$1 under $25,000",3873
12094,"$25,000 under $50,000",10319
12094,"$50,000 under $75,000",10813
12094,"$75,000 under $100,000",12080
12094,"$100,000 under $200,000",29250
12094,"$200,000 or more",** 
,,
12095,,"283,310"
12095,"$1 under $25,000",25438
12095,"$25,000 under $50,000",60414
12095,"$50,000 under $75,000",54286
12095,"$75,000 under $100,000",44683
12095,"$100,000 under $200,000",76402
12095,"$200,000 or more",22087
,,
12106,,"116,829"
12106,"$1 under $25,000",4261
12106,"$25,000 under $50,000",10006
12106,"$50,000 under $75,000",14339
12106,"$75,000 under $100,000",12582
12106,"$100,000 under $200,000",35204
12106,"$200,000 or more",40437
,,
12108,,"12,155"
12108,"$1 under $25,000",920
12108,"$25,000 under $50,000",2411
12108,"$50,000 under $75,000",2420
12108,"$75,000 under $100,000",1868
12108,"$100,000 under $200,000",4536
12108,"$200,000 or more",** 
,,
12110,,"809,832"
12110,"$1 under $25,000",31034
12110,"$25,000 under $50,000",82786
12110,"$50,000 under $75,000",105324
12110,"$75,000 under $100,000",107069
12110,"$100,000 under $200,000",270556
12110,"$200,000 or more",213063
,,
12116,,"40,091"
12116,"$1 under $25,000",4127
12116,"$25,000 under $50,000",8684
12116,"$50,000 under $75,000",7558
12116,"$75,000 under $100,000",6466
12116,"$100,000 under $200,000",13256
12116,"$200,000 or more",** 
,,
12117,,"82,674"
12117,"$1 under $25,000",6605
12117,"$25,000 under $50,000",16274
12117,"$50,000 under $75,000",15567
12117,"$75,000 under $100,000",11645
12117,"$100,000 under $200,000",21694
12117,"$200,000 or more",10889
,,
12118,,"584,249"
12118,"$1 under $25,000",28636
12118,"$25,000 under $50,000",66738
12118,"$50,000 under $75,000",77701
12118,"$75,000 under $100,000",71442
12118,"$100,000 under $200,000",212278
12118,"$200,000 or more",127454
,,
12120,,"17,852"
12120,"$1 under $25,000",1165
12120,"$25,000 under $50,000",2230
12120,"$50,000 under $75,000",2256
12120,"$75,000 under $100,000",3211
12120,"$100,000 under $200,000",8990
12120,"$200,000 or more",** 
,,
12121,,"68,227"
12121,"$1 under $25,000",3412
12121,"$25,000 under $50,000",7694
12121,"$50,000 under $75,000",9472
12121,"$75,000 under $100,000",11159
12121,"$100,000 under $200,000",24415
12121,"$200,000 or more",12075
,,
12122,,"97,814"
12122,"$1 under $25,000",8843
12122,"$25,000 under $50,000",18368
12122,"$50,000 under $75,000",19760
12122,"$75,000 under $100,000",15733
12122,"$100,000 under $200,000",26531
12122,"$200,000 or more",8579
,,
12123,,"174,210"
12123,"$1 under $25,000",8891
12123,"$25,000 under $50,000",22784
12123,"$50,000 under $75,000",28115
12123,"$75,000 under $100,000",27946
12123,"$100,000 under $200,000",56761
12123,"$200,000 or more",29713
,,
12125,,"44,877"
12125,"$1 under $25,000",3342
12125,"$25,000 under $50,000",7643
12125,"$50,000 under $75,000",7545
12125,"$75,000 under $100,000",5850
12125,"$100,000 under $200,000",8652
12125,"$200,000 or more",11845
,,
12130,,"27,009"
12130,"$1 under $25,000",1989
12130,"$25,000 under $50,000",4788
12130,"$50,000 under $75,000",5302
12130,"$75,000 under $100,000",6027
12130,"$100,000 under $200,000",8903
12130,"$200,000 or more",** 
,,
12134,,"107,370"
12134,"$1 under $25,000",7246
12134,"$25,000 under $50,000",17172
12134,"$50,000 under $75,000",16269
12134,"$75,000 under $100,000",16711
12134,"$100,000 under $200,000",33942
12134,"$200,000 or more",16030
,,
12136,,"47,897"
12136,"$1 under $25,000",1561
12136,"$25,000 under $50,000",2574
12136,"$50,000 under $75,000",4170
12136,"$75,000 under $100,000",4223
12136,"$100,000 under $200,000",12124
12136,"$200,000 or more",23245
,,
12137,,"56,265"
12137,"$1 under $25,000",2941
12137,"$25,000 under $50,000",8370
12137,"$50,000 under $75,000",9131
12137,"$75,000 under $100,000",9676
12137,"$100,000 under $200,000",26147
12137,"$200,000 or more",** 
,,
12138,,"82,038"
12138,"$1 under $25,000",5373
12138,"$25,000 under $50,000",13922
12138,"$50,000 under $75,000",14731
12138,"$75,000 under $100,000",13202
12138,"$100,000 under $200,000",23536
12138,"$200,000 or more",11274
,,
12139,,"7,977"
12139,"$1 under $25,000",347
12139,"$25,000 under $50,000",790
12139,"$50,000 under $75,000",2772
12139,"$75,000 under $100,000",** 
12139,"$100,000 under $200,000",4068
12139,"$200,000 or more",** 
,,
12140,,"65,415"
12140,"$1 under $25,000",2342
12140,"$25,000 under $50,000",6612
12140,"$50,000 under $75,000",8734
12140,"$75,000 under $100,000",10685
12140,"$100,000 under $200,000",28423
12140,"$200,000 or more",8619
,,
12143,,"145,039"
12143,"$1 under $25,000",10135
12143,"$25,000 under $50,000",23990
12143,"$50,000 under $75,000",28067
12143,"$75,000 under $100,000",24373
12143,"$100,000 under $200,000",49765
12143,"$200,000 or more",8709
,,
12144,,"665,985"
12144,"$1 under $25,000",40045
12144,"$25,000 under $50,000",100796
12144,"$50,000 under $75,000",119322
12144,"$75,000 under $100,000",105226
12144,"$100,000 under $200,000",213415
12144,"$200,000 or more",87181
,,
12147,,"18,104"
12147,"$1 under $25,000",959
12147,"$25,000 under $50,000",2061
12147,"$50,000 under $75,000",3177
12147,"$75,000 under $100,000",3432
12147,"$100,000 under $200,000",8475
12147,"$200,000 or more",** 
,,
12148,,"274,881"
12148,"$1 under $25,000",5453
12148,"$25,000 under $50,000",13539
12148,"$50,000 under $75,000",16788
12148,"$75,000 under $100,000",23996
12148,"$100,000 under $200,000",98721
12148,"$200,000 or more",116384
,,
12149,,"50,721"
12149,"$1 under $25,000",4681
12149,"$25,000 under $50,000",10623
12149,"$50,000 under $75,000",8223
12149,"$75,000 under $100,000",8076
12149,"$100,000 under $200,000",19118
12149,"$200,000 or more",** 
,,
12150,,"26,352"
12150,"$1 under $25,000",1698
12150,"$25,000 under $50,000",3824
12150,"$50,000 under $75,000",5238
12150,"$75,000 under $100,000",4859
12150,"$100,000 under $200,000",10733
12150,"$200,000 or more",** 
,,
12151,,"35,529"
12151,"$1 under $25,000",1280
12151,"$25,000 under $50,000",4556
12151,"$50,000 under $75,000",4684
12151,"$75,000 under $100,000",5871
12151,"$100,000 under $200,000",19138
12151,"$200,000 or more",** 
,,
12153,,"34,901"
12153,"$1 under $25,000",1363
12153,"$25,000 under $50,000",3630
12153,"$50,000 under $75,000",4436
12153,"$75,000 under $100,000",4832
12153,"$100,000 under $200,000",14458
12153,"$200,000 or more",6182
,,
12154,,"97,384"
