reaction_time,growth_rate mean
-34,1.084557988021922
-32,1.0796261579957205
-30,1.0772476266500393
-28,1.077224416002267
-20,1.0793585480697931
-17,1.0834520448700096
-3,1.0875271583735868
1,1.0977858214795961
2,1.1023072791097452
3,1.1153045931585166
4,1.128571104133872
5,1.1382701784123688
6,1.1350198388120107
7,1.1388956897141718
8,1.1538477874032347
9,1.1669005735954756
10,1.1797656441892819
11,1.173764114110584
12,1.1681021656167554
13,1.1692074374395838
14,1.1693434087139172
15,1.173104512146215
16,1.1568582919612704
17,1.154043018218236
18,1.1652065712566326
19,1.1687471448400515
20,1.1791592076504305
21,1.159695653724906
22,1.1700559612327508
24,1.1720742233595285
25,1.1725896548027532
26,1.1812165975044404
27,1.1675152962965147
28,1.1573953957661278
29,1.1626515426998254
30,1.1593619294870636
33,1.1580112127141633
34,1.158009472657707
35,1.1597450348332636
36,1.163606224756406
37,1.1699813679427071
