,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
31103,"Keya Paha County, NE",3.5,3.0,3.1,3.3,2.7,2.1,2.1,2.5,2.2,"$48,429",81.1%
31105,"Kimball County, NE",4.7,3.6,3.3,3.3,2.5,3.6,4.1,2.8,2.6,"$46,986",78.7%
31107,"Knox County, NE",4.1,3.9,3.4,3.5,3.1,3.2,3.1,3.4,3.0,"$47,906",80.2%
31109,"Lancaster County, NE",4.2,4.0,3.6,3.5,3.0,2.6,2.8,2.6,2.5,"$58,618",98.1%
31111,"Lincoln County, NE",4.5,4.4,3.9,3.8,3.3,2.9,3.1,3.0,3.0,"$56,803",95.1%
31113,"Logan County, NE",4.5,3.5,3.2,3.2,3.0,2.8,2.7,2.8,2.8,"$55,531",93.0%
31115,"Loup County, NE",5.7,4.8,3.8,4.5,3.9,3.7,3.3,3.0,3.0,"$47,797",80.0%
31117,"McPherson County, NE",2.8,2.5,3.6,3.8,2.3,2.0,2.4,2.2,2.5,"$53,207",89.1%
31119,"Madison County, NE",4.2,4.1,3.7,3.5,2.9,2.7,2.7,2.6,2.5,"$55,226",92.5%
31121,"Merrick County, NE",4.5,4.3,3.7,3.7,3.8,3.7,3.6,2.7,2.8,"$56,493",94.6%
31123,"Morrill County, NE",4.1,3.4,3.2,3.2,3.0,2.9,3.2,2.9,2.7,"$49,151",82.3%
31125,"Nance County, NE",3.9,3.7,3.3,3.2,2.7,2.5,2.7,2.4,2.4,"$47,279",79.2%
31127,"Nemaha County, NE",5.3,5.0,4.8,5.0,3.9,3.7,3.6,3.8,3.4,"$52,069",87.2%
31129,"Nuckolls County, NE",4.1,3.6,3.5,3.2,2.8,2.6,2.9,2.6,2.6,"$46,954",78.6%
31131,"Otoe County, NE",5.0,5.1,4.5,4.3,3.7,3.3,3.4,3.3,2.8,"$60,734",101.7%
31133,"Pawnee County, NE",4.0,3.8,3.3,3.1,2.8,2.6,2.2,3.0,2.5,"$45,487",76.2%
31135,"Perkins County, NE",3.3,2.9,2.7,2.6,2.1,1.9,2.1,1.9,1.9,"$57,251",95.9%
31137,"Phelps County, NE",3.6,3.7,3.0,3.0,2.6,2.4,2.5,2.3,2.2,"$59,003",98.8%
31139,"Pierce County, NE",3.7,3.5,3.3,3.3,2.9,2.5,2.6,2.7,2.6,"$57,367",96.1%
31141,"Platte County, NE",4.2,4.2,3.7,3.5,3.0,3.0,3.5,2.9,2.6,"$63,656",106.6%
31143,"Polk County, NE",4.0,3.4,3.1,3.4,3.2,2.5,2.6,2.3,2.3,"$59,815",100.2%
31145,"Red Willow County, NE",3.7,3.5,3.3,3.0,2.6,2.6,2.8,2.5,2.4,"$49,034",82.1%
31147,"Richardson County, NE",6.2,6.0,5.1,4.5,3.7,3.2,3.2,3.2,3.0,"$47,573",79.7%
31149,"Rock County, NE",2.8,2.7,2.5,3.2,2.6,2.7,2.6,2.5,2.4,"$48,260",80.8%
31151,"Saline County, NE",4.7,4.7,4.3,4.3,3.4,2.9,3.1,3.0,3.0,"$54,569",91.4%
31153,"Sarpy County, NE",4.4,4.2,3.9,3.6,3.1,2.8,2.9,2.7,2.7,"$79,358",132.9%
31155,"Saunders County, NE",4.8,4.6,4.2,4.0,3.5,3.1,3.1,2.7,2.7,"$67,897",113.7%
31157,"Scotts Bluff County, NE",5.5,5.0,4.7,4.2,3.6,3.4,3.5,3.4,3.2,"$50,247",84.1%
31159,"Seward County, NE",4.0,3.8,3.5,3.7,3.1,2.9,2.8,2.6,2.6,"$71,024",118.9%
31161,"Sheridan County, NE",3.5,3.6,3.6,3.2,2.6,2.7,2.9,2.6,2.6,"$43,819",73.4%
31163,"Sherman County, NE",4.0,4.3,3.8,3.3,3.3,2.9,3.2,2.8,2.6,"$47,499",79.5%
31165,"Sioux County, NE",3.7,3.4,3.6,3.3,2.5,2.5,2.7,2.9,2.6,"$50,861",85.2%
31167,"Stanton County, NE",4.1,3.7,3.5,3.3,2.8,2.5,2.6,2.8,2.5,"$66,228",110.9%
31169,"Thayer County, NE",3.8,3.3,3.1,2.8,2.5,2.4,2.4,2.2,2.2,"$51,299",85.9%
31171,"Thomas County, NE",4.8,5.2,4.0,4.0,3.5,3.0,3.1,3.2,3.0,"$48,275",80.8%
31173,"Thurston County, NE",9.6,10.2,8.7,7.7,6.1,5.3,4.8,4.9,4.0,"$45,405",76.0%
31175,"Valley County, NE",4.4,4.0,3.5,3.3,3.0,2.8,2.8,2.6,2.9,"$48,604",81.4%
31177,"Washington County, NE",4.6,4.4,3.8,3.7,3.2,3.0,3.2,3.0,2.8,"$77,838",130.3%
31179,"Wayne County, NE",3.8,3.5,3.2,3.2,2.8,2.5,2.7,2.4,2.4,"$55,970",93.7%
31181,"Webster County, NE",4.8,4.6,3.7,3.9,3.4,3.5,3.1,2.9,2.8,"$45,058",75.4%
31183,"Wheeler County, NE",3.9,3.2,3.4,3.2,2.9,2.3,2.1,2.2,2.5,"$53,369",89.4%
31185,"York County, NE",4.6,4.3,3.7,3.6,3.2,2.9,2.7,2.5,2.5,"$61,478",102.9%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
