,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
40103,"Noble County, OK",6.8,5.1,4.4,4.4,3.7,3.6,3.5,3.3,2.6,"$54,210",104.4%
40105,"Nowata County, OK",9.3,8.0,6.8,6.8,6.1,5.7,6.1,5.4,4.2,"$45,734",88.1%
40107,"Okfuskee County, OK",9.8,8.6,7.6,7.1,6.0,5.9,6.1,6.0,4.8,"$37,545",72.3%
40109,"Oklahoma County, OK",6.1,5.3,4.8,4.8,4.2,3.9,4.3,4.0,3.3,"$52,346",100.8%
40111,"Okmulgee County, OK",9.8,9.0,7.9,7.6,6.8,6.7,7.2,6.3,4.9,"$42,354",81.6%
40113,"Osage County, OK",7.8,6.8,5.8,5.8,5.1,5.3,5.8,5.1,4.3,"$48,826",94.1%
40115,"Ottawa County, OK",8.1,7.5,7.9,8.0,6.8,5.1,5.0,4.3,3.5,"$38,194",73.6%
40117,"Pawnee County, OK",9.1,7.8,6.6,6.0,5.3,5.8,6.6,5.3,4.1,"$46,949",90.4%
40119,"Payne County, OK",5.7,5.0,4.7,4.4,3.7,3.5,3.7,3.6,2.9,"$47,748",92.0%
40121,"Pittsburg County, OK",8.2,7.3,7.0,7.3,6.1,5.7,6.1,5.2,3.9,"$42,376",81.6%
40123,"Pontotoc County, OK",6.2,5.4,5.1,5.5,4.3,4.0,4.1,3.8,3.1,"$48,450",93.3%
40125,"Pottawatomie County, OK",6.9,6.0,5.3,5.5,4.7,4.5,4.6,4.1,3.7,"$48,499",93.4%
40127,"Pushmataha County, OK",9.8,8.7,7.2,8.9,7.5,7.8,7.3,6.2,5.2,"$37,026",71.3%
40129,"Roger Mills County, OK",4.6,3.2,2.8,3.2,2.8,4.2,5.1,3.2,2.4,"$53,871",103.8%
40131,"Rogers County, OK",6.9,5.7,5.0,5.1,4.2,4.4,5.0,4.4,3.3,"$61,849",119.1%
40133,"Seminole County, OK",9.6,8.3,7.8,8.2,6.8,6.8,6.9,5.7,4.7,"$37,901",73.0%
40135,"Sequoyah County, OK",9.6,9.2,8.3,8.4,6.8,6.4,6.3,5.4,4.3,"$38,998",75.1%
40137,"Stephens County, OK",7.8,5.8,4.9,5.4,4.5,6.0,9.5,6.2,3.9,"$46,512",89.6%
40139,"Texas County, OK",4.9,4.4,4.2,4.4,3.7,3.2,3.4,3.1,2.8,"$51,812",99.8%
40141,"Tillman County, OK",6.2,5.8,4.8,5.4,4.6,4.3,4.4,4.2,3.7,"$41,186",79.3%
40143,"Tulsa County, OK",7.0,6.1,5.2,5.1,4.3,4.1,4.7,4.3,3.3,"$55,796",107.5%
40145,"Wagoner County, OK",6.8,5.9,5.2,5.1,4.2,4.2,4.8,4.4,3.3,"$62,889",121.1%
40147,"Washington County, OK",6.7,5.7,4.8,4.8,4.2,4.3,4.9,4.5,3.9,"$53,992",104.0%
40149,"Washita County, OK",6.1,4.5,4.0,4.2,3.4,5.6,6.9,4.4,3.1,"$47,484",91.5%
40151,"Woods County, OK",4.2,3.4,2.8,3.2,2.7,2.8,3.2,2.6,2.2,"$51,715",99.6%
40153,"Woodward County, OK",6.9,4.7,3.5,3.5,3.1,5.2,6.2,4.1,2.8,"$55,134",106.2%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
