,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
48103,"Crane County, TX",7.6,6.6,4.9,4.5,4.0,5.8,8.6,5.3,3.8,"$61,987",102.2%
48105,"Crockett County, TX",8.5,6.6,5.0,5.1,3.8,6.0,7.5,4.0,3.0,"$49,117",81.0%
48107,"Crosby County, TX",8.0,8.4,7.2,5.9,4.7,4.3,4.4,4.2,4.5,"$37,911",62.5%
48109,"Culberson County, TX",7.1,6.9,6.1,5.0,4.1,4.1,4.1,3.7,3.2,"$42,164",69.5%
48111,"Dallam County, TX",5.3,4.4,3.7,3.5,2.9,2.2,2.2,2.1,2.0,"$50,587",83.4%
48113,"Dallas County, TX",8.6,8.1,7.1,6.6,5.4,4.3,4.0,3.9,3.7,"$59,838",98.7%
48115,"Dawson County, TX",7.7,7.5,6.4,6.4,4.9,4.5,5.0,4.9,4.3,"$43,726",72.1%
48117,"Deaf Smith County, TX",5.8,5.4,4.7,4.5,3.6,3.1,3.1,3.1,2.8,"$44,230",72.9%
48119,"Delta County, TX",7.9,8.1,6.7,6.3,6.0,4.5,3.8,3.4,3.4,"$44,410",73.2%
48121,"Denton County, TX",7.1,6.6,5.7,5.4,4.4,3.6,3.4,3.3,3.2,"$88,384",145.8%
48123,"DeWitt County, TX",7.8,6.4,4.8,4.7,3.8,4.0,5.5,4.4,3.1,"$49,208",81.2%
48125,"Dickens County, TX",11.3,15.3,10.7,9.2,6.3,4.6,4.9,4.8,4.2,"$39,627",65.4%
48127,"Dimmit County, TX",10.5,7.7,5.8,5.0,3.8,4.6,7.1,5.1,3.0,"$37,177",61.3%
48129,"Donley County, TX",6.9,6.4,5.9,5.1,4.8,4.1,4.0,3.6,3.4,"$40,945",67.5%
48131,"Duval County, TX",11.6,9.4,7.0,6.4,5.6,8.1,10.9,7.7,5.3,"$35,156",58.0%
48133,"Eastland County, TX",8.6,7.7,6.7,6.0,4.8,4.7,5.4,4.3,3.4,"$44,773",73.8%
48135,"Ector County, TX",8.3,6.1,4.6,4.3,3.4,4.6,6.4,4.1,2.7,"$60,431",99.7%
48137,"Edwards County, TX",7.1,6.6,6.4,5.9,4.3,4.6,4.6,3.2,2.8,"$37,812",62.4%
48139,"Ellis County, TX",8.0,7.8,6.8,6.2,4.9,3.9,3.7,3.5,3.3,"$76,792",126.7%
48141,"El Paso County, TX",9.2,9.5,8.5,7.9,6.4,5.2,4.9,4.6,4.2,"$43,948",72.5%
48143,"Erath County, TX",6.4,6.0,5.6,5.4,4.2,3.9,4.1,3.4,3.1,"$47,087",77.7%
48145,"Falls County, TX",8.5,8.3,7.3,7.1,5.5,4.2,4.4,4.2,3.9,"$37,428",61.7%
48147,"Fannin County, TX",8.1,8.3,7.1,7.0,5.3,4.1,3.8,3.3,3.1,"$53,111",87.6%
48149,"Fayette County, TX",6.1,5.8,4.8,4.4,3.4,3.3,3.6,3.2,2.8,"$55,776",92.0%
48151,"Fisher County, TX",7.0,6.6,5.4,5.4,4.5,3.8,4.3,3.6,3.3,"$45,261",74.6%
48153,"Floyd County, TX",7.9,7.7,6.4,8.8,7.1,5.5,5.0,5.5,5.2,"$39,891",65.8%
48155,"Foard County, TX",6.6,7.3,5.8,5.2,4.3,4.0,3.7,3.4,2.9,"$37,648",62.1%
48157,"Fort Bend County, TX",7.6,7.1,6.0,5.5,4.5,4.3,5.0,4.6,4.0,"$92,310",152.2%
48159,"Franklin County, TX",8.6,8.2,7.4,6.5,5.1,4.9,4.9,4.6,4.1,"$48,222",79.5%
48161,"Freestone County, TX",8.2,7.8,6.7,6.9,5.6,5.4,6.7,6.4,5.8,"$49,317",81.3%
48163,"Frio County, TX",7.3,6.5,5.0,4.7,3.6,3.8,4.9,3.9,2.9,"$41,038",67.7%
48165,"Gaines County, TX",5.9,5.1,4.2,4.2,3.3,3.2,3.7,3.0,2.6,"$56,321",92.9%
48167,"Galveston County, TX",9.1,8.8,7.6,6.9,5.6,5.0,5.3,5.3,4.6,"$71,959",118.7%
48169,"Garza County, TX",5.9,6.0,5.0,4.5,3.6,3.7,3.9,3.3,3.0,"$46,490",76.7%
48171,"Gillespie County, TX",5.5,5.3,4.7,4.4,3.5,2.9,2.8,2.6,2.5,"$61,433",101.3%
48173,"Glasscock County, TX",4.8,4.3,4.1,3.6,2.6,2.8,3.9,2.7,2.0,"$83,330",137.4%
48175,"Goliad County, TX",7.4,6.5,5.5,5.2,4.1,4.4,5.8,4.9,3.8,"$55,008",90.7%
48177,"Gonzales County, TX",6.8,6.2,5.1,5.1,3.8,3.7,4.2,3.5,3.0,"$49,829",82.2%
48179,"Gray County, TX",8.6,6.8,5.6,5.2,4.0,5.6,6.9,5.2,3.9,"$49,121",81.0%
48181,"Grayson County, TX",8.2,7.9,6.8,6.3,4.9,4.0,3.8,3.5,3.2,"$51,403",84.8%
48183,"Gregg County, TX",7.9,7.1,6.2,5.9,4.9,4.9,6.1,5.2,4.1,"$50,610",83.5%
48185,"Grimes County, TX",8.9,7.8,6.4,6.0,4.8,5.3,6.6,5.4,4.1,"$49,498",81.6%
48187,"Guadalupe County, TX",6.7,6.5,5.7,5.5,4.3,3.5,3.6,3.3,3.1,"$73,864",121.8%
48189,"Hale County, TX",7.4,7.5,6.9,13.3,9.4,6.3,5.6,5.1,4.8,"$42,782",70.6%
48191,"Hall County, TX",9.1,8.7,7.7,7.1,6.2,5.3,6.7,6.1,4.3,"$32,597",53.8%
48193,"Hamilton County, TX",6.8,6.3,5.8,6.0,4.6,4.6,4.9,3.9,3.3,"$49,210",81.2%
48195,"Hansford County, TX",4.3,4.1,3.4,3.3,2.5,3.0,3.1,2.5,2.3,"$57,240",94.4%
48197,"Hardeman County, TX",8.3,6.9,5.9,5.8,4.9,4.9,3.9,4.0,3.6,"$42,469",70.0%
48199,"Hardin County, TX",9.9,9.5,8.4,8.0,6.3,5.6,6.1,6.1,5.2,"$60,909",100.5%
48201,"Harris County, TX",8.3,7.8,6.6,6.1,5.0,4.6,5.3,5.1,4.4,"$60,241",99.4%
48203,"Harrison County, TX",9.4,8.5,7.4,6.8,5.5,5.2,6.0,5.2,4.4,"$50,131",82.7%
48205,"Hartley County, TX",4.2,3.9,3.3,3.1,2.5,2.1,2.0,2.0,1.8,"$72,451",119.5%
48207,"Haskell County, TX",5.4,5.4,5.3,4.9,3.9,3.5,4.2,4.8,3.8,"$40,880",67.4%
48209,"Hays County, TX",7.0,6.7,5.8,5.3,4.3,3.4,3.3,3.2,3.0,"$68,180",112.4%
48211,"Hemphill County, TX",3.9,3.5,2.9,3.0,2.4,3.1,3.7,2.5,2.1,"$66,849",110.3%
48213,"Henderson County, TX",8.8,8.5,7.6,7.1,5.6,4.8,4.7,4.2,3.7,"$43,337",71.5%
48215,"Hidalgo County, TX",11.8,11.6,10.6,10.3,8.8,7.9,7.8,7.5,6.6,"$38,785",64.0%
48217,"Hill County, TX",8.4,8.2,6.9,6.4,5.3,4.5,4.4,3.9,3.6,"$48,670",80.3%
48219,"Hockley County, TX",7.1,6.3,5.3,5.0,3.9,4.1,4.6,3.7,3.1,"$46,764",77.1%
48221,"Hood County, TX",8.5,7.9,6.5,6.1,4.9,4.5,4.7,4.2,3.7,"$60,917",100.5%
48223,"Hopkins County, TX",7.4,7.3,6.5,5.8,4.7,4.2,4.0,3.6,3.4,"$52,079",85.9%
48225,"Houston County, TX",7.7,7.8,7.1,6.2,5.0,4.5,4.6,4.3,3.7,"$39,533",65.2%
48227,"Howard County, TX",7.2,6.5,5.6,5.4,4.4,4.6,5.5,4.3,3.3,"$50,423",83.2%
48229,"Hudspeth County, TX",7.9,8.0,7.5,7.0,6.3,5.6,6.0,5.8,4.7,"$42,671",70.4%
48231,"Hunt County, TX",8.9,8.8,8.3,7.4,5.9,4.7,4.3,4.0,3.8,"$53,360",88.0%
48233,"Hutchinson County, TX",8.4,7.9,6.5,6.2,4.4,4.4,5.6,6.0,5.0,"$54,351",89.6%
48235,"Irion County, TX",5.3,5.4,4.6,4.2,3.7,3.6,3.2,3.0,3.1,"$56,775",93.6%
48237,"Jack County, TX",7.8,6.9,5.8,5.3,3.7,4.2,4.9,3.7,2.5,"$48,780",80.5%
48239,"Jackson County, TX",7.0,6.2,5.1,5.0,3.9,3.7,4.7,4.0,3.3,"$54,088",89.2%
48241,"Jasper County, TX",12.4,12.3,10.6,10.5,8.1,7.5,7.7,7.5,6.5,"$47,551",78.4%
48243,"Jeff Davis County, TX",4.9,5.0,4.9,4.1,3.6,3.2,3.0,3.2,3.0,"$51,343",84.7%
48245,"Jefferson County, TX",11.3,11.4,11.1,10.9,8.3,7.0,7.0,7.4,6.3,"$48,121",79.4%
48247,"Jim Hogg County, TX",10.3,8.6,6.6,7.1,6.0,7.2,9.6,7.3,5.7,"$36,176",59.7%
48249,"Jim Wells County, TX",10.0,7.9,6.2,6.1,5.2,7.9,10.5,7.6,5.4,"$41,919",69.1%
48251,"Johnson County, TX",8.7,7.8,6.6,6.1,5.0,4.4,4.4,3.8,3.4,"$62,635",103.3%
48253,"Jones County, TX",8.8,8.3,7.2,6.7,5.5,5.5,5.8,5.3,4.8,"$43,903",72.4%
48255,"Karnes County, TX",9.1,7.8,6.1,5.4,3.7,4.2,4.9,3.5,2.8,"$48,743",80.4%
48257,"Kaufman County, TX",8.5,8.0,7.0,6.4,5.1,4.1,3.8,3.5,3.5,"$67,434",111.2%
48259,"Kendall County, TX",6.2,6.1,5.4,5.1,4.0,3.3,3.2,3.1,2.9,"$90,937",150.0%
48261,"Kenedy County, TX",6.8,6.3,5.1,4.0,2.9,3.2,4.6,3.3,3.7,"$42,153",69.5%
48263,"Kent County, TX",4.8,4.7,4.0,3.9,3.5,2.6,3.0,2.6,2.4,"$47,625",78.5%
48265,"Kerr County, TX",6.7,6.7,5.8,5.5,4.4,3.7,3.6,3.4,3.2,"$53,704",88.6%
48267,"Kimble County, TX",6.0,6.2,4.9,4.9,3.9,3.6,3.8,3.5,3.1,"$42,503",70.1%
48269,"King County, TX",4.3,3.8,4.5,4.6,4.0,3.5,3.9,3.6,2.8,"$57,925",95.5%
48271,"Kinney County, TX",11.2,10.1,8.8,9.5,7.2,6.3,5.8,5.6,4.7,"$43,192",71.2%
48273,"Kleberg County, TX",8.4,8.0,6.9,6.5,5.4,5.9,6.7,5.9,5.0,"$42,605",70.3%
48275,"Knox County, TX",5.9,5.8,5.2,5.4,4.3,3.7,4.2,4.0,3.6,"$39,726",65.5%
48277,"Lamar County, TX",9.3,9.8,9.2,8.1,6.1,4.8,4.6,4.2,3.8,"$45,767",75.5%
48279,"Lamb County, TX",7.6,7.6,8.0,6.8,5.8,8.9,6.5,5.2,4.4,"$42,700",70.4%
48281,"Lampasas County, TX",7.1,7.6,7.1,7.2,5.6,4.4,4.1,3.7,3.7,"$55,151",91.0%
48283,"La Salle County, TX",8.9,6.7,4.4,3.8,3.1,4.1,5.1,3.7,2.4,"$40,072",66.1%
48285,"Lavaca County, TX",6.9,5.9,4.8,4.7,3.9,3.8,4.2,3.6,3.2,"$51,128",84.3%
48287,"Lee County, TX",7.2,6.5,5.4,5.1,4.0,3.5,3.8,3.3,3.1,"$55,834",92.1%
48289,"Leon County, TX",8.9,8.7,7.4,6.9,5.3,5.3,6.5,6.3,5.0,"$47,065",77.6%
48291,"Liberty County, TX",11.7,11.1,9.6,8.9,7.2,6.9,7.5,7.1,5.8,"$52,577",86.7%
48293,"Limestone County, TX",7.9,8.3,6.9,6.7,5.8,5.0,5.6,5.6,4.7,"$43,226",71.3%
48295,"Lipscomb County, TX",5.9,4.6,3.9,4.0,3.4,3.9,4.4,3.2,2.7,"$57,332",94.6%
48297,"Live Oak County, TX",7.3,5.9,4.6,4.4,3.6,4.0,5.9,4.7,3.8,"$48,814",80.5%
48299,"Llano County, TX",8.1,7.7,6.8,6.4,5.2,4.2,4.2,3.8,3.7,"$54,019",89.1%
48301,"Loving County, TX",5.6,6.1,6.0,5.3,5.1,5.2,4.7,5.0,3.9,"$78,637",129.7%
48303,"Lubbock County, TX",6.3,6.0,5.3,4.9,3.9,3.4,3.4,3.2,3.1,"$50,377",83.1%
48305,"Lynn County, TX",6.6,6.6,6.0,5.3,4.4,4.0,4.0,3.7,3.2,"$43,436",71.6%
48307,"McCulloch County, TX",7.0,5.9,5.4,5.3,4.2,4.8,4.5,3.5,3.3,"$42,719",70.5%
48309,"McLennan County, TX",7.4,7.4,6.6,6.2,5.1,4.1,3.9,3.9,3.6,"$48,858",80.6%
48311,"McMullen County, TX",4.3,3.0,2.4,2.6,2.0,2.1,2.1,1.9,1.9,"$64,633",106.6%
48313,"Madison County, TX",8.4,8.3,7.1,6.5,4.9,4.3,5.1,4.7,4.4,"$45,445",75.0%
48315,"Marion County, TX",11.8,10.4,9.1,8.1,6.5,6.5,7.0,5.7,4.6,"$38,011",62.7%
48317,"Martin County, TX",6.0,5.6,4.5,4.2,3.4,3.5,4.4,3.2,2.4,"$56,484",93.2%
48319,"Mason County, TX",6.3,6.0,5.2,5.5,4.6,3.8,3.6,3.4,3.1,"$49,560",81.7%
48321,"Matagorda County, TX",11.5,11.6,10.1,9.7,7.8,6.7,7.3,7.3,6.1,"$48,830",80.5%
48323,"Maverick County, TX",15.2,14.0,12.5,12.5,10.9,10.6,11.2,9.3,8.1,"$35,594",58.7%
48325,"Medina County, TX",7.5,7.5,6.6,6.1,4.9,4.4,4.4,3.9,3.5,"$59,304",97.8%
48327,"Menard County, TX",7.4,7.2,6.3,5.9,4.7,5.2,4.4,4.8,4.0,"$35,881",59.2%
48329,"Midland County, TX",5.9,4.8,3.9,3.7,2.9,3.5,4.4,3.0,2.1,"$80,189",132.3%
48331,"Milam County, TX",11.2,10.2,8.6,7.8,6.2,5.2,5.1,5.0,5.5,"$46,720",77.1%
48333,"Mills County, TX",6.3,6.3,5.4,5.3,4.3,3.7,4.2,3.6,3.5,"$47,068",77.6%
48335,"Mitchell County, TX",8.2,7.5,6.0,5.5,4.3,5.6,7.0,5.4,4.4,"$48,529",80.0%
48337,"Montague County, TX",8.0,6.5,5.4,4.9,4.0,4.2,4.9,4.0,3.2,"$50,542",83.4%
48339,"Montgomery County, TX",7.5,7.1,5.9,5.4,4.4,4.2,4.9,4.4,3.8,"$77,598",128.0%
48341,"Moore County, TX",5.4,4.8,4.3,4.3,3.5,3.1,3.0,2.9,2.7,"$53,785",88.7%
48343,"Morris County, TX",13.8,12.0,9.7,9.6,7.8,8.8,10.9,8.6,6.6,"$41,418",68.3%
48345,"Motley County, TX",6.3,6.9,5.9,6.0,4.2,3.5,3.5,3.6,3.6,"$41,009",67.6%
48347,"Nacogdoches County, TX",7.1,7.0,6.6,6.5,5.3,4.7,4.7,4.3,3.9,"$45,357",74.8%
