,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,Median Household Income (2018),% of State Median HH Income
05103,"Ouachita County, AR",9.6,10.5,10.5,9.7,8.0,6.3,5.1,4.6,4.7,"$37,624",79.9%
05105,"Perry County, AR",8.9,9.3,9.1,9.3,7.7,6.1,4.8,4.1,4.2,"$45,342",96.3%
05107,"Phillips County, AR",10.5,12.1,11.6,11.4,9.6,7.6,5.9,5.8,6.1,"$29,945",63.6%
05109,"Pike County, AR",9.1,10.1,9.1,8.8,7.3,5.9,4.3,4.1,4.2,"$41,534",88.2%
05111,"Poinsett County, AR",9.3,9.6,8.7,8.5,6.9,5.6,4.3,4.2,3.8,"$37,370",79.4%
05113,"Polk County, AR",7.5,8.1,7.4,7.2,6.2,5.8,4.9,4.5,4.2,"$39,048",82.9%
05115,"Pope County, AR",7.8,7.8,7.3,7.3,6.3,5.3,4.6,4.5,4.5,"$45,788",97.2%
05117,"Prairie County, AR",9.2,8.7,7.6,7.0,5.8,4.7,3.8,4.1,3.9,"$43,245",91.8%
05119,"Pulaski County, AR",7.3,7.5,6.9,6.5,5.5,4.6,3.5,3.4,3.5,"$49,957",106.1%
05121,"Randolph County, AR",10.2,11.3,10.8,9.5,7.9,7.2,4.6,4.2,4.0,"$37,799",80.3%
05123,"St. Francis County, AR",10.6,11.1,10.8,10.4,8.7,7.2,5.2,5.0,5.2,"$33,257",70.6%
05125,"Saline County, AR",6.7,6.7,6.1,5.8,4.8,4.1,3.1,3.0,3.1,"$63,677",135.2%
05127,"Scott County, AR",7.1,7.1,6.7,6.3,5.0,4.8,3.7,3.5,3.7,"$35,826",76.1%
05129,"Searcy County, AR",9.2,9.2,8.2,7.9,6.3,5.7,4.6,4.6,4.3,"$31,659",67.2%
05131,"Sebastian County, AR",8.0,8.7,7.8,7.4,5.7,4.8,3.7,3.6,3.6,"$46,843",99.5%
05133,"Sevier County, AR",7.0,9.2,8.8,8.4,7.0,6.1,4.9,4.6,4.7,"$44,100",93.6%
05135,"Sharp County, AR",9.8,10.7,10.1,9.7,8.4,6.9,5.4,5.0,4.8,"$36,032",76.5%
05137,"Stone County, AR",7.6,8.9,8.2,8.4,7.6,6.3,5.1,4.8,4.5,"$34,009",72.2%
05139,"Union County, AR",11.3,10.5,9.2,8.6,7.4,6.1,5.5,5.3,5.6,"$45,335",96.3%
05141,"Van Buren County, AR",11.2,11.0,10.1,9.7,8.1,6.7,6.9,5.5,5.3,"$40,486",86.0%
05143,"Washington County, AR",6.5,6.3,5.6,5.3,4.4,3.5,2.7,2.6,2.6,"$50,893",108.1%
05145,"White County, AR",8.2,8.7,7.9,7.8,7.0,6.2,5.2,4.5,4.4,"$44,811",95.2%
05147,"Woodruff County, AR",10.4,11.0,10.2,9.5,7.6,6.4,5.5,4.9,4.7,"$34,306",72.8%
05149,"Yell County, AR",8.1,7.5,6.7,6.6,5.6,5.1,4.5,4.0,4.2,"$41,729",88.6%
,,,,,,,,,,,,
"Sources: Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) data.

Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program



",,,,,,,,,,,,
