state,county,county_st,date,cases_pred,transit_pred
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-15,0.0,-16.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-16,0.0,-20.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-17,0.0,-27.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-18,0.0,-24.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-19,0.0,-24.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-20,0.0,-16.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-21,0.0,-15.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-22,0.0,-26.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-23,0.0,-28.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-24,0.0,-36.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-25,0.0,-39.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-26,0.0,-34.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-27,0.0,-29.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-28,0.0,-23.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-29,0.0,-30.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-01,0.0,-40.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-02,0.0,-38.86302997231348
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-03,0.0,-43.28538896583304
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-04,0.0,-44.39869558315539
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-05,0.0,-43.76114315326663
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-06,0.0,-39.806803928103534
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-07,0.0,-40.064310914043965
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-08,0.0,-43.36404300089245
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-09,0.0,-43.94652542152298
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-10,0.0,-47.005505651971106
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-11,0.0,-49.72950068650021
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-12,0.0,-51.95106661376232
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-13,0.0,-51.842702116416525
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-14,1.2562889948345366,-52.262399687003814
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-15,1.268851884782882,-53.72313447313254
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-16,1.2815404036307108,-54.34353205909016
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-17,1.294355807667018,-55.99264452817692
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-18,1.307299365743688,-58.08546331207201
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-19,1.3203723594011252,-60.560298632094394
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-20,1.3335760829951364,-62.21300516503671
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-21,1.3469118438250876,-63.78410416709014
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-22,1.3603809622633387,-65.57568805029342
