state,county,county_st,date,cases_pred,transit_pred
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-15,0.0,-11.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-16,0.0,-3.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-17,0.0,-13.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-18,0.0,-11.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-19,0.0,-9.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-20,0.0,-16.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-21,0.0,-20.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-22,0.0,-27.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-23,0.0,-24.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-24,0.0,-24.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-25,0.0,-16.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-26,0.0,-15.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-27,0.0,-26.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-28,0.0,-28.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-02-29,0.0,-36.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-01,0.0,-39.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-02,0.0,-34.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-03,0.0,-29.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-04,0.0,-23.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-05,0.0,-30.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-06,0.0,-40.0
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-07,0.0,-38.86302997231348
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-08,0.0,-43.28538896583304
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-09,0.0,-44.39869558315539
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-10,0.0,-43.76114315326663
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-11,0.0,-39.806803928103534
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-12,0.0,-40.064310914043965
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-13,0.0,-43.36404300089245
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-14,1.2562889948345366,-43.94652542152298
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-15,1.3356092130957118,-47.005505651971106
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-16,1.4199375919400568,-49.72950068650021
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-17,1.509590339176585,-51.95106661376232
