state,county,county_st,date,cases_pred,transit_pred
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-18,1.6049036275049755,-51.842702116416525
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-19,1.7062348550690702,-52.262399687003814
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-20,1.813963985599843,-53.72313447313254
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-21,1.928494973173002,-54.34353205909016
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-22,2.0502572769236678,-55.99264452817692
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-23,2.179707471397884,-58.08546331207201
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-24,2.317330958579323,-60.560298632094394
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-25,2.463643788010818,-62.21300516503671
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-26,2.6191945918356536,-63.78410416709014
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-27,2.7845666420144872,-65.57568805029342
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-28,2.9603800374318907,-66.92330765949711
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-29,3.147294029093539,-68.48483846175074
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-30,3.3460094921328962,-70.28564898187537
Alabama,Baldwin County,"Baldwin County, Alabama",2020-03-31,3.557271553896719,-72.49033242817036
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-01,3.7818723879639795,-74.59029763709786
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-02,4.020654184574977,-76.73186862024514
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-03,4.274512308608928,-79.00536615748656
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-04,4.544398656951569,-81.11655219774129
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-05,4.831325227841944,-83.22178377531644
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-06,5.136367915582449,-85.36984052690639
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-07,5.46067054484122,-87.71700419884105
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-08,5.805449159674365,-90.1139739045139
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-09,6.171996583350695,-92.6090616428029
Alabama,Baldwin County,"Baldwin County, Alabama",2020-04-10,6.561687266076992,-95.24867731033154
Alabama,Butler County,"Butler County, Alabama",2020-02-15,0.0,6.0
Alabama,Butler County,"Butler County, Alabama",2020-02-16,0.0,-15.0
Alabama,Butler County,"Butler County, Alabama",2020-02-17,0.0,-36.0
Alabama,Butler County,"Butler County, Alabama",2020-02-18,0.0,-35.333333333333336
Alabama,Butler County,"Butler County, Alabama",2020-02-19,0.0,-34.666666666666664
Alabama,Butler County,"Butler County, Alabama",2020-02-20,0.0,-34.0
Alabama,Butler County,"Butler County, Alabama",2020-02-21,0.0,-44.0
Alabama,Butler County,"Butler County, Alabama",2020-02-22,0.0,-47.0
Alabama,Butler County,"Butler County, Alabama",2020-02-23,0.0,-45.0
Alabama,Butler County,"Butler County, Alabama",2020-02-24,0.0,-48.0
Alabama,Butler County,"Butler County, Alabama",2020-02-25,0.0,-43.33333333333334
Alabama,Butler County,"Butler County, Alabama",2020-02-26,0.0,-38.66666666666666
Alabama,Butler County,"Butler County, Alabama",2020-02-27,0.0,-34.0
Alabama,Butler County,"Butler County, Alabama",2020-02-28,0.0,-44.0
Alabama,Butler County,"Butler County, Alabama",2020-02-29,0.0,-62.0
Alabama,Butler County,"Butler County, Alabama",2020-03-01,0.0,-64.0
Alabama,Butler County,"Butler County, Alabama",2020-03-02,0.0,-50.0
Alabama,Butler County,"Butler County, Alabama",2020-03-03,0.0,-49.5
Alabama,Butler County,"Butler County, Alabama",2020-03-04,0.0,-49.0
Alabama,Butler County,"Butler County, Alabama",2020-03-05,0.0,-47.0
Alabama,Butler County,"Butler County, Alabama",2020-03-06,0.0,-53.0
Alabama,Butler County,"Butler County, Alabama",2020-03-07,0.0,-55.949340509513824
Alabama,Butler County,"Butler County, Alabama",2020-03-08,0.0,-55.39213441917161
Alabama,Butler County,"Butler County, Alabama",2020-03-09,0.0,-55.80422069389881
Alabama,Butler County,"Butler County, Alabama",2020-03-10,0.0,-56.426071803582545
Alabama,Butler County,"Butler County, Alabama",2020-03-11,0.0,-57.638841816924305
Alabama,Butler County,"Butler County, Alabama",2020-03-12,0.0,-59.013670512042104
Alabama,Butler County,"Butler County, Alabama",2020-03-13,0.0,-59.71434762367507
Alabama,Butler County,"Butler County, Alabama",2020-03-14,0.0,-60.38466704441788
Alabama,Butler County,"Butler County, Alabama",2020-03-15,0.0,-61.32594514531742
Alabama,Butler County,"Butler County, Alabama",2020-03-16,0.0,-62.34634362375048
Alabama,Butler County,"Butler County, Alabama",2020-03-17,0.0,-63.37610990305849
Alabama,Butler County,"Butler County, Alabama",2020-03-18,0.0,-64.33939849032134
Alabama,Butler County,"Butler County, Alabama",2020-03-19,0.0,-65.27657353558955
Alabama,Butler County,"Butler County, Alabama",2020-03-20,0.0,-66.27704310249501
Alabama,Butler County,"Butler County, Alabama",2020-03-21,0.0,-67.32063734120777
Alabama,Butler County,"Butler County, Alabama",2020-03-22,0.0,-68.37010035139974
Alabama,Butler County,"Butler County, Alabama",2020-03-23,0.0,-69.4211892182952
Alabama,Butler County,"Butler County, Alabama",2020-03-24,0.0,-70.48218219739698
Alabama,Butler County,"Butler County, Alabama",2020-03-25,1.719235182703513,-71.5661734918886
Alabama,Butler County,"Butler County, Alabama",2020-03-26,1.7364275345305482,-72.67388372305055
Alabama,Butler County,"Butler County, Alabama",2020-03-27,1.7537918098758536,-73.79713427420535
Alabama,Butler County,"Butler County, Alabama",2020-03-28,1.7713297279746125,-74.93404183493672
Alabama,Butler County,"Butler County, Alabama",2020-03-29,1.7890430252543583,-76.08754286109993
Alabama,Butler County,"Butler County, Alabama",2020-03-30,1.806933455506902,-77.26005137522543
Alabama,Butler County,"Butler County, Alabama",2020-03-31,1.8250027900619712,-78.45193516082907
Alabama,Butler County,"Butler County, Alabama",2020-04-01,1.8432528179625907,-79.6620770117745
Alabama,Butler County,"Butler County, Alabama",2020-04-02,1.8616853461422167,-80.89009226205783
Alabama,Butler County,"Butler County, Alabama",2020-04-03,1.8803021996036386,-82.13680453341448
Alabama,Butler County,"Butler County, Alabama",2020-04-04,1.899105221599675,-83.40300903116378
Alabama,Butler County,"Butler County, Alabama",2020-04-05,1.918096273815672,-84.68898300539966
Alabama,Butler County,"Butler County, Alabama",2020-04-06,1.9372772365538287,-85.99476970417044
Alabama,Butler County,"Butler County, Alabama",2020-04-07,1.956650008919367,-87.32053937326006
Alabama,Butler County,"Butler County, Alabama",2020-04-08,1.9762165090085608,-88.6666893426602
Alabama,Butler County,"Butler County, Alabama",2020-04-09,1.9959786740986463,-90.03364675102169
Alabama,Butler County,"Butler County, Alabama",2020-04-10,2.015938460839633,-91.4217314934576
Alabama,Chambers County,"Chambers County, Alabama",2020-02-15,0.0,-12.909090909090908
Alabama,Chambers County,"Chambers County, Alabama",2020-02-16,0.0,-13.818181818181818
Alabama,Chambers County,"Chambers County, Alabama",2020-02-17,0.0,-14.727272727272727
Alabama,Chambers County,"Chambers County, Alabama",2020-02-18,0.0,-15.636363636363635
Alabama,Chambers County,"Chambers County, Alabama",2020-02-19,0.0,-16.545454545454547
Alabama,Chambers County,"Chambers County, Alabama",2020-02-20,0.0,-17.454545454545453
Alabama,Chambers County,"Chambers County, Alabama",2020-02-21,0.0,-18.363636363636363
Alabama,Chambers County,"Chambers County, Alabama",2020-02-22,0.0,-19.272727272727273
Alabama,Chambers County,"Chambers County, Alabama",2020-02-23,0.0,-20.18181818181818
Alabama,Chambers County,"Chambers County, Alabama",2020-02-24,0.0,-21.09090909090909
Alabama,Chambers County,"Chambers County, Alabama",2020-02-25,0.0,-22.0
Alabama,Chambers County,"Chambers County, Alabama",2020-02-26,0.0,-24.33333333333333
Alabama,Chambers County,"Chambers County, Alabama",2020-02-27,0.0,-26.66666666666667
Alabama,Chambers County,"Chambers County, Alabama",2020-02-28,0.0,-29.0
Alabama,Chambers County,"Chambers County, Alabama",2020-02-29,0.0,-28.75
Alabama,Chambers County,"Chambers County, Alabama",2020-03-01,0.0,-28.5
Alabama,Chambers County,"Chambers County, Alabama",2020-03-02,0.0,-28.25
Alabama,Chambers County,"Chambers County, Alabama",2020-03-03,0.0,-28.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-04,0.0,-35.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-05,0.0,-31.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-06,0.0,-40.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-07,0.0,-38.86648225403413
Alabama,Chambers County,"Chambers County, Alabama",2020-03-08,0.0,-43.40740189833645
Alabama,Chambers County,"Chambers County, Alabama",2020-03-09,0.0,-44.77097450197867
Alabama,Chambers County,"Chambers County, Alabama",2020-03-10,0.0,-47.21794521610648
Alabama,Chambers County,"Chambers County, Alabama",2020-03-11,0.0,-50.27505777293371
Alabama,Chambers County,"Chambers County, Alabama",2020-03-12,0.0,-52.38625875093608
Alabama,Chambers County,"Chambers County, Alabama",2020-03-13,0.0,-55.94401084083073
Alabama,Chambers County,"Chambers County, Alabama",2020-03-14,0.0,-58.61541378402149
Alabama,Chambers County,"Chambers County, Alabama",2020-03-15,0.0,-62.23841135272626
Alabama,Chambers County,"Chambers County, Alabama",2020-03-16,0.0,-65.59241074604337
Alabama,Chambers County,"Chambers County, Alabama",2020-03-17,0.0,-69.3328661881939
Alabama,Chambers County,"Chambers County, Alabama",2020-03-18,0.0,-73.26344529528325
Alabama,Chambers County,"Chambers County, Alabama",2020-03-19,2.017345393774257,-77.32821251741846
Alabama,Chambers County,"Chambers County, Alabama",2020-03-20,2.3291098634762446,-81.74457957141435
Alabama,Chambers County,"Chambers County, Alabama",2020-03-21,2.689055018978751,-86.28984623656962
Alabama,Chambers County,"Chambers County, Alabama",2020-03-22,3.104626796909601,-91.18546092931034
Alabama,Chambers County,"Chambers County, Alabama",2020-03-23,3.584421843384133,-96.29517323667969
Alabama,Chambers County,"Chambers County, Alabama",2020-03-24,4.138365346881147,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-25,4.777916353756401,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-26,5.516304813613764,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-27,6.36880525812776,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-28,7.353052774722145,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-29,8.489407811433574,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-30,9.801377359426438,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-03-31,11.316101225870396,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-01,13.064913456371505,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-02,15.083990520714716,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-03,17.415099670488132,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-04,20.10646294934595,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-05,23.213754729093086,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-06,26.80125340693108,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-07,30.94317108822997,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-08,35.72518876105462,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-09,41.24622871953975,-100.0
Alabama,Chambers County,"Chambers County, Alabama",2020-04-10,47.6205009010109,-100.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-15,0.0,23.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-16,0.0,-1.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-17,0.0,-13.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-18,0.0,-9.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-19,0.0,-2.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-20,0.0,-7.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-21,0.0,-21.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-22,0.0,-11.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-23,0.0,-27.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-24,0.0,-23.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-25,0.0,-20.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-26,0.0,-9.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-27,0.0,-18.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-28,0.0,-25.0
Alabama,Chilton County,"Chilton County, Alabama",2020-02-29,0.0,-29.0
Alabama,Chilton County,"Chilton County, Alabama",2020-03-01,0.0,-45.0
Alabama,Chilton County,"Chilton County, Alabama",2020-03-02,0.0,-24.0
Alabama,Chilton County,"Chilton County, Alabama",2020-03-03,0.0,-26.0
Alabama,Chilton County,"Chilton County, Alabama",2020-03-04,0.0,-29.0
Alabama,Chilton County,"Chilton County, Alabama",2020-03-05,0.0,-24.0
Alabama,Chilton County,"Chilton County, Alabama",2020-03-06,0.0,-34.0
Alabama,Chilton County,"Chilton County, Alabama",2020-03-07,0.0,-33.13593498242536
Alabama,Chilton County,"Chilton County, Alabama",2020-03-08,0.0,-36.03783396950553
Alabama,Chilton County,"Chilton County, Alabama",2020-03-09,0.0,-32.7948618313324
Alabama,Chilton County,"Chilton County, Alabama",2020-03-10,0.0,-31.180395181127963
Alabama,Chilton County,"Chilton County, Alabama",2020-03-11,0.0,-31.784690288692378
Alabama,Chilton County,"Chilton County, Alabama",2020-03-12,0.0,-30.85100971762367
Alabama,Chilton County,"Chilton County, Alabama",2020-03-13,0.0,-33.32668154023503
Alabama,Chilton County,"Chilton County, Alabama",2020-03-14,0.0,-34.38914383204242
Alabama,Chilton County,"Chilton County, Alabama",2020-03-15,0.0,-35.47042053369723
Alabama,Chilton County,"Chilton County, Alabama",2020-03-16,0.0,-35.31818718163797
Alabama,Chilton County,"Chilton County, Alabama",2020-03-17,0.0,-34.78915714708108
Alabama,Chilton County,"Chilton County, Alabama",2020-03-18,0.0,-34.86127444523666
Alabama,Chilton County,"Chilton County, Alabama",2020-03-19,0.0,-34.807160053756625
Alabama,Chilton County,"Chilton County, Alabama",2020-03-20,0.0,-35.58976759421735
Alabama,Chilton County,"Chilton County, Alabama",2020-03-21,0.0,-36.37902967575245
Alabama,Chilton County,"Chilton County, Alabama",2020-03-22,0.0,-37.07996788410237
Alabama,Chilton County,"Chilton County, Alabama",2020-03-23,0.0,-37.47070715392207
Alabama,Chilton County,"Chilton County, Alabama",2020-03-24,0.0,-37.58984508156765
Alabama,Chilton County,"Chilton County, Alabama",2020-03-25,4.695608381020143,-37.77485014654456
Alabama,Chilton County,"Chilton County, Alabama",2020-03-26,4.897395813584318,-37.979739632453
Alabama,Chilton County,"Chilton County, Alabama",2020-03-27,5.107854788712695,-38.41544981872008
Alabama,Chilton County,"Chilton County, Alabama",2020-03-28,5.327357954243085,-38.96054433911968
Alabama,Chilton County,"Chilton County, Alabama",2020-03-29,5.556293972051176,-39.50790113008979
Alabama,Chilton County,"Chilton County, Alabama",2020-03-30,5.795068206232182,-39.97730308481326
Alabama,Chilton County,"Chilton County, Alabama",2020-03-31,6.044103440856202,-40.335354686600006
Alabama,Chilton County,"Chilton County, Alabama",2020-04-01,6.303840628568116,-40.66625314908495
Alabama,Chilton County,"Chilton County, Alabama",2020-04-02,6.574739671357569,-41.00082323969265
Alabama,Chilton County,"Chilton County, Alabama",2020-04-03,6.857280234881487,-41.402182069681544
Alabama,Chilton County,"Chilton County, Alabama",2020-04-04,7.151962597781004,-41.865504134284116
Alabama,Chilton County,"Chilton County, Alabama",2020-04-05,7.459308537496637,-42.35280156213069
Alabama,Chilton County,"Chilton County, Alabama",2020-04-06,7.779862254150166,-42.8290094873568
Alabama,Chilton County,"Chilton County, Alabama",2020-04-07,8.114191334129112,-43.26996412854628
Alabama,Chilton County,"Chilton County, Alabama",2020-04-08,8.462887755079928,-43.68949122160149
Alabama,Chilton County,"Chilton County, Alabama",2020-04-09,8.826568934089444,-44.10468222215525
Alabama,Chilton County,"Chilton County, Alabama",2020-04-10,9.205878820910469,-44.538928828972075
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-15,0.0,-16.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-16,0.0,-36.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-17,0.0,-19.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-18,0.0,-16.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-19,0.0,-13.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-20,0.0,-34.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-21,0.0,-20.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-22,0.0,-23.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-23,0.0,-36.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-24,0.0,-21.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-25,0.0,-18.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-26,0.0,-13.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-27,0.0,-32.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-28,0.0,-27.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-02-29,0.0,-37.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-01,0.0,-48.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-02,0.0,-23.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-03,0.0,-29.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-04,0.0,-20.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-05,0.0,-40.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-06,0.0,-34.0
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-07,0.0,-29.40397625601438
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-08,0.0,-40.901713263456905
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-09,0.0,-36.9087132522768
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-10,0.0,-40.070508006838956
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-11,0.0,-31.848242362421182
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-12,0.0,-39.32041932028797
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-13,0.0,-41.22911641438257
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-14,0.0,-36.586261210897675
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-15,0.0,-40.1034231357272
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-16,0.0,-40.274395950147266
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-17,0.0,-44.49712294137264
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-18,0.0,-40.660846427376455
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-19,0.0,-42.136259983665845
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-20,0.0,-45.509913058687445
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-21,0.0,-44.53094393852886
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-22,0.0,-45.36365414199009
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-23,0.0,-45.087077461488335
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-24,0.0,-48.482493404606714
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-25,2.8020479075817812,-48.16829716891973
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-26,2.8349619113842492,-47.9591746899135
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-27,2.868262536572946,-49.99417355643747
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-28,2.9019543245612227,-50.90440502594318
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-29,2.936041870107732,-51.98768561703743
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-30,2.970529821943049,-51.68731297054569
Alabama,Cleburne County,"Cleburne County, Alabama",2020-03-31,3.0054228834036425,-53.63035150645736
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-01,3.0407258130733013,-54.900471848488515
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-02,3.076443425432088,-55.17440658696938
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-03,3.112580591512927,-56.241904641778234
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-04,3.1491422395658892,-57.3730228892478
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-05,3.186133355730294,-58.90938233472995
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-06,3.223558984714696,-59.29679154205792
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-07,3.261424230484868,-60.40321211418278
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-08,3.299734256959855,-61.895388556317954
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-09,3.338494288716215,-62.89664550296435
Alabama,Cleburne County,"Cleburne County, Alabama",2020-04-10,3.377709611700523,-63.89934364286937
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-15,0.0,-9.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-16,0.0,-14.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-17,0.0,-25.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-18,0.0,-10.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-19,0.0,-6.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-20,0.0,-10.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-21,0.0,-30.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-22,0.0,-27.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-23,0.0,-33.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-24,0.0,-32.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-25,0.0,-23.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-26,0.0,-20.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-27,0.0,-28.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-28,0.0,-39.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-02-29,0.0,-41.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-01,0.0,-44.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-02,0.0,-37.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-03,0.0,-30.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-04,0.0,-36.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-05,0.0,-29.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-06,0.0,-42.0
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-07,0.0,-42.93659778335772
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-08,0.0,-39.71195277235207
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-09,0.0,-37.56081331131094
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-10,0.0,-39.68540165123956
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-11,0.0,-36.252013653106395
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-12,0.0,-38.46586068629088
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-13,0.0,-39.97583180562865
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-14,0.0,-39.30698377280936
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-15,0.0,-38.5862805067607
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-16,0.0,-39.672871979962515
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-17,0.0,-38.69152993985294
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-18,0.0,-38.77323188087351
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-19,0.0,-39.458550695413564
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-20,0.0,-39.438625852949826
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-21,0.0,-39.12817670584509
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-22,0.0,-39.5901180301795
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-23,0.0,-39.46186802418922
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-24,0.0,-39.3483253788726
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-25,0.0,-39.59607627744604
Alabama,Conecuh County,"Conecuh County, Alabama",2020-03-26,0.0,-39.70512552860468
